# Raw node-level degree data
# Node type: a, n=607
# N: 1,005, m: 2
# h: 0.7, f_a: 0.6
# Generated: 2026-03-13T16:16:27.739213
node_id,in_degree
0,36
2,57
4,25
5,43
6,7
7,13
8,30
9,16
10,18
12,23
15,19
17,15
18,14
22,24
24,4
25,9
26,11
27,17
28,10
33,6
34,9
37,10
41,4
42,0
43,17
44,10
45,13
46,3
48,5
50,7
51,9
52,2
53,2
55,24
57,12
58,4
59,7
60,14
62,4
64,3
65,4
66,9
67,9
68,1
69,5
70,2
71,13
75,8
76,1
78,7
79,5
80,7
81,2
82,1
83,12
85,14
88,17
91,8
92,6
93,2
94,4
95,3
96,10
98,3
100,11
101,2
102,2
103,3
104,20
105,11
108,11
111,1
116,5
117,6
120,4
121,7
122,5
123,2
125,2
128,2
129,7
130,3
133,5
134,2
135,9
136,0
137,2
139,2
140,1
142,3
143,1
144,5
145,0
146,1
147,5
148,2
151,1
152,2
153,1
154,1
155,0
156,0
157,2
160,3
165,5
167,7
169,1
170,1
173,0
174,3
175,1
176,12
177,5
178,3
179,0
180,4
182,5
184,1
185,0
186,1
187,1
188,2
191,2
192,6
195,6
196,2
197,3
198,1
199,2
201,1
204,6
205,2
207,3
209,4
211,1
212,1
213,1
214,1
217,2
218,6
221,0
224,1
226,2
228,1
230,0
233,0
235,1
236,0
238,1
239,1
240,0
241,1
247,3
248,4
249,0
252,0
253,0
254,2
255,3
258,0
260,1
261,3
262,2
263,5
264,6
265,3
266,1
270,2
271,5
272,0
273,7
274,4
275,4
276,4
278,0
281,4
282,3
285,0
286,1
287,1
289,0
291,0
294,0
295,2
296,5
297,0
299,1
301,2
303,1
305,2
306,3
307,1
308,2
310,0
311,8
312,4
313,1
315,2
317,2
318,2
319,3
322,1
323,0
324,2
325,1
326,0
327,3
328,1
333,2
334,2
335,2
336,0
337,1
338,0
339,2
340,1
342,1
345,0
346,0
347,1
348,6
349,1
351,0
352,1
354,1
356,0
358,3
359,0
360,0
361,2
364,1
368,2
369,0
370,2
373,1
374,2
375,2
380,0
382,4
383,2
384,0
389,3
393,1
398,6
400,0
401,0
403,1
406,2
412,4
414,6
415,0
417,1
418,0
420,2
425,0
426,0
428,3
430,0
434,0
435,1
436,2
439,2
441,1
442,1
445,2
449,4
450,0
453,4
454,0
455,0
456,2
457,5
459,0
460,0
461,0
463,0
464,0
467,1
468,0
469,0
470,2
471,0
472,1
473,1
475,0
476,0
477,1
479,1
481,0
482,0
483,2
485,0
488,0
489,1
490,1
497,5
500,0
504,0
505,0
506,0
507,0
508,0
509,0
512,1
514,4
517,1
518,0
521,1
523,0
524,2
525,0
527,0
528,0
529,0
530,0
531,0
532,0
534,0
535,0
539,0
540,0
544,0
546,1
547,0
550,0
552,5
556,0
558,0
559,1
562,1
563,1
564,0
566,0
567,0
568,0
569,1
570,0
571,0
573,0
574,1
576,0
578,2
580,0
584,0
585,0
587,0
589,0
590,0
592,1
596,0
597,1
598,0
602,0
606,1
607,3
608,2
609,0
611,0
615,1
616,0
618,1
619,0
620,0
622,0
624,1
626,0
627,1
629,0
630,0
631,1
633,0
634,1
635,1
636,0
637,1
638,0
639,1
640,0
641,0
642,0
643,0
644,1
645,0
646,1
647,0
649,0
650,1
651,0
653,0
655,0
661,0
663,0
664,0
665,0
666,2
667,0
668,0
669,0
671,0
672,1
673,0
676,0
679,0
683,0
686,0
687,2
688,0
689,1
692,0
693,0
694,1
695,0
696,1
697,0
699,0
700,0
701,0
703,0
704,1
706,0
707,0
708,0
709,0
711,0
712,0
713,0
714,1
715,0
716,1
718,1
719,0
721,0
722,0
723,1
724,1
725,0
726,0
727,1
729,0
731,0
733,0
735,0
736,0
739,0
740,0
743,0
744,0
745,0
747,0
748,0
749,0
750,0
751,1
752,0
753,2
756,0
758,0
759,0
760,0
763,0
764,1
765,0
768,0
769,0
770,0
771,0
773,0
774,0
777,1
778,0
779,0
780,0
783,1
784,1
788,0
789,0
790,0
791,0
792,1
794,0
795,0
796,0
798,1
804,0
807,0
808,0
810,0
812,0
813,0
815,0
817,0
818,0
819,0
820,0
821,1
822,0
825,0
827,0
828,0
832,0
833,0
835,0
837,0
838,0
840,1
841,0
842,0
843,0
844,0
847,0
848,0
850,0
851,0
852,0
853,0
854,2
857,0
858,0
860,0
861,0
862,0
867,0
870,0
871,0
873,0
875,0
876,0
877,0
878,0
879,1
881,0
882,0
884,0
886,0
888,0
891,0
892,0
894,0
895,0
896,0
899,0
900,0
901,0
904,0
906,1
907,0
908,0
909,0
910,0
912,0
914,1
917,0
920,0
921,0
922,0
924,0
925,0
927,0
930,0
931,0
933,0
935,0
937,1
938,0
941,0
943,0
944,0
946,1
947,0
948,0
949,0
951,0
952,0
954,0
955,0
956,0
958,0
961,0
962,0
963,0
967,0
969,0
971,0
972,0
974,0
975,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
986,0
987,0
988,0
989,0
990,0
992,0
993,0
995,0
996,0
998,0
999,0
1000,0
1003,0
1004,0
