# Normalization constant A(k)
# Node type: a
# p0: 0.545458, alpha: 1.428571, gamma: 2.714307
# A_asymptotic: 4.432269
# Generated: 2026-03-18T18:26:15.742771
k,A_k,A_asymptotic
0,4.432269363055765,4.432269363055765
1,4.432269363055764,4.432269363055765
2,4.432269363055763,4.432269363055765
3,4.432269363055763,4.432269363055765
4,4.432269363055765,4.432269363055765
5,4.432269363055765,4.432269363055765
6,4.432269363055764,4.432269363055765
7,4.432269363055763,4.432269363055765
8,4.432269363055764,4.432269363055765
9,4.432269363055764,4.432269363055765
10,4.432269363055763,4.432269363055765
