# Normalization constant A(k)
# Node type: b
# p0: 0.545458, alpha: 3.333333, gamma: 5.000049
# A_asymptotic: 1951.811673
# Generated: 2026-03-18T18:26:15.746779
k,A_k,A_asymptotic
0,1951.8116727161703,1951.8116727161703
1,1951.8116727161696,1951.8116727161703
2,1951.8116727161698,1951.8116727161703
3,1951.8116727161696,1951.8116727161703
4,1951.8116727161707,1951.8116727161703
5,1951.8116727161644,1951.8116727161703
6,1951.8116727161648,1951.8116727161703
7,1951.8116727161635,1951.8116727161703
8,1951.8116727161632,1951.8116727161703
9,1951.8116727161637,1951.8116727161703
10,1951.811672716163,1951.8116727161703
