# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: a
# A: 4.432269, alpha: 1.428571, gamma: 2.714307
# Generated: 2026-03-18T18:26:15.768779
k,pmf,A,alpha,gamma
0,1.6833511978284035,4.432269363055765,1.4285714285714286,2.714306608240559
1,0.3987178714708983,4.432269363055765,1.4285714285714286,2.714306608240559
2,0.15637410838693325,4.432269363055765,1.4285714285714286,2.714306608240559
3,0.0780671706528904,4.432269363055765,1.4285714285714286,2.714306608240559
4,0.04492253799807449,4.432269363055765,1.4285714285714286,2.714306608240559
5,0.02838936572498275,4.432269363055765,1.4285714285714286,2.714306608240559
6,0.01917441510811175,4.432269363055765,1.4285714285714286,2.714306608240559
7,0.013609620749857927,4.432269363055765,1.4285714285714286,2.714306608240559
8,0.010038786370627752,4.432269363055765,1.4285714285714286,2.714306608240559
9,0.007635751533990262,4.432269363055765,1.4285714285714286,2.714306608240559
10,0.005955409273091256,4.432269363055765,1.4285714285714286,2.714306608240559
