# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: b
# A: 1951.811673, alpha: 3.333333, gamma: 5.000049
# Generated: 2026-03-18T18:26:15.777774
k,pmf,A,alpha,gamma
0,4.74262397987844,1951.8116727161703,3.333333333333333,5.000048752561303
1,1.2773101883675682,1951.8116727161703,3.333333333333333,5.000048752561303
2,0.4522815045550511,1951.8116727161703,3.333333333333333,5.000048752561303
3,0.191530127669028,1951.8116727161703,3.333333333333333,5.000048752561303
4,0.09202134883052061,1951.8116727161703,3.333333333333333,5.000048752561303
5,0.048562300153734105,1951.8116727161703,3.333333333333333,5.000048752561303
6,0.027555401036930216,1951.8116727161703,3.333333333333333,5.000048752561303
7,0.016564802742067897,1951.8116727161703,3.333333333333333,5.000048752561303
8,0.010437541053873652,1951.8116727161703,3.333333333333333,5.000048752561303
9,0.006838838867049647,1951.8116727161703,3.333333333333333,5.000048752561303
10,0.0046311557212570355,1951.8116727161703,3.333333333333333,5.000048752561303
