# Linear-scale discrete degree distribution
# Node type: a, n=28005
# N: 28005, m: 2
# h: 0.7, f_a: 1
# Theories: Diamond, Sterling
# Generated: 2026-03-18T18:26:13.759907
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.5466523835029459,0.5454575672874293,1.6833511978284035
1,0.18635957864667024,0.18808786770959968,0.3987178714708983
2,0.0888055704338511,0.08881891001708689,0.15637410838693325
3,0.04931262274593823,0.049573176510514044,0.0780671706528904
4,0.030030351722906624,0.03073527953110274,0.04492253799807449
5,0.02103195857882521,0.02049013377793676,0.02838936572498275
6,0.01428316372076415,0.014407092388424832,0.01917441510811175
7,0.009855382967327263,0.010551651562506651,0.013609620749857927
8,0.008819853597571863,0.007981362498106399,0.010038786370627752
9,0.006427423674343867,0.006197282570292085,0.007635751533990262
10,0.004677736118550259,0.004917401178517557,0.005955409273091256
11,0.003999285841813961,0.0039736516475183566,0.0047427629266504
12,0.003535083020889127,0.003261388833310586,0.003844212341727941
13,0.002785216925549009,0.002713010208253148,0.0031632869573836216
14,0.0025352615604356363,0.00228344747551524,0.0026372166180424574
15,0.002428137832529905,0.0019418271129803834,0.002223901639122309
16,0.001535440099982146,0.0016664915989219574,0.0018943536758796952
17,0.0013926084627745045,0.001441927405500113,0.0016281474847867296
18,0.0010712372790573112,0.0012568138614245281,0.0014105957878357421
19,0.0013926084627745045,0.0011027517668891396,0.0012309445536583187
20,0.0010355293697554009,0.0009734158042938633,0.0010811910848910653
21,0.0006784502767362971,0.0008639777768088213,0.0009552925768003654
22,0.0007498660953401178,0.0007707068081658656,0.0008486254414880913
23,0.0005356186395286556,0.0006906875165073523,0.0007576092036926062
24,0.0005356186395286556,0.0006216182863489811,0.00067944054120584
25,0.0008212819139439386,0.0005616648366615255,0.0006119023712411277
26,0.0008926977325477593,0.0005093525504198911,0.0005532249101437069
27,0.00032137118371719335,0.0004634863596785675,0.0005019832707147792
28,0.00042849491162292447,0.00042309047566881525,0.0004570211026090095
29,0.0002499553651133726,0.0003873625837023207,0.00041739303378230183
30,0.0003570790930191037,0.00035563869962802237,0.00038232084619971735
31,0.000285663274415283,0.00032736596668777516,0.00035115979533202786
32,0.00032137118371719335,0.00030208142380648003,0.00032337249872103555
33,0.0003570790930191037,0.000279395305561293,0.0002985085267099526
34,0.0001428316372076415,0.0002589778106260638,0.00027618832756348807
35,0.00021424745581146223,0.0002405485462666324,0.00025609047510537436
36,0.0003927870023210141,0.00022386805312251252,0.00023794148343709708
37,0.0001428316372076415,0.00020873095868182077,0.00022150761988861087
38,0.00021424745581146223,0.00019496041448247107,0.00020658828437382333
39,7.141581860382075e-05,0.00018240355159064486,0.0001930106248265076
40,0.00032137118371719335,0.00017092774867766725,0.0001806251342041698
41,0.00010712372790573112,0.00016041755227904543,0.00016930203161311745
42,0.0001428316372076415,0.00015077212333953992,0.00015892827338089357
