# Network edges data
# Layout: spring
# N: 28005, m: 2
# h: 0.7, f_a: 1
# Initial core size (n0): 5
# Added nodes: 28000
# Generated: 2026-03-18T18:26:12.046114
source,target,source_origin,target_origin,source_type,target_type
0,1,initial_core,initial_core,Type a,Type a
0,2,initial_core,initial_core,Type a,Type a
1,2,initial_core,initial_core,Type a,Type a
1,4,initial_core,initial_core,Type a,Type a
2,3,initial_core,initial_core,Type a,Type a
2,1,initial_core,initial_core,Type a,Type a
3,0,initial_core,initial_core,Type a,Type a
3,2,initial_core,initial_core,Type a,Type a
4,2,initial_core,initial_core,Type a,Type a
4,1,initial_core,initial_core,Type a,Type a
5,4,added,initial_core,Type a,Type a
5,1,added,initial_core,Type a,Type a
6,1,added,initial_core,Type a,Type a
6,2,added,initial_core,Type a,Type a
7,2,added,initial_core,Type a,Type a
7,1,added,initial_core,Type a,Type a
8,1,added,initial_core,Type a,Type a
8,2,added,initial_core,Type a,Type a
9,8,added,added,Type a,Type a
9,1,added,initial_core,Type a,Type a
10,1,added,initial_core,Type a,Type a
10,4,added,initial_core,Type a,Type a
11,0,added,initial_core,Type a,Type a
11,3,added,initial_core,Type a,Type a
12,2,added,initial_core,Type a,Type a
12,4,added,initial_core,Type a,Type a
13,1,added,initial_core,Type a,Type a
13,7,added,added,Type a,Type a
14,11,added,added,Type a,Type a
14,0,added,initial_core,Type a,Type a
15,14,added,added,Type a,Type a
15,2,added,initial_core,Type a,Type a
16,4,added,initial_core,Type a,Type a
16,8,added,added,Type a,Type a
17,0,added,initial_core,Type a,Type a
17,1,added,initial_core,Type a,Type a
18,1,added,initial_core,Type a,Type a
18,16,added,added,Type a,Type a
19,12,added,added,Type a,Type a
19,4,added,initial_core,Type a,Type a
20,12,added,added,Type a,Type a
20,16,added,added,Type a,Type a
21,14,added,added,Type a,Type a
21,1,added,initial_core,Type a,Type a
22,0,added,initial_core,Type a,Type a
22,5,added,added,Type a,Type a
23,0,added,initial_core,Type a,Type a
23,1,added,initial_core,Type a,Type a
24,1,added,initial_core,Type a,Type a
24,14,added,added,Type a,Type a
25,8,added,added,Type a,Type a
25,4,added,initial_core,Type a,Type a
26,22,added,added,Type a,Type a
26,1,added,initial_core,Type a,Type a
27,2,added,initial_core,Type a,Type a
27,1,added,initial_core,Type a,Type a
28,4,added,initial_core,Type a,Type a
28,25,added,added,Type a,Type a
29,0,added,initial_core,Type a,Type a
29,20,added,added,Type a,Type a
30,4,added,initial_core,Type a,Type a
30,20,added,added,Type a,Type a
31,4,added,initial_core,Type a,Type a
31,18,added,added,Type a,Type a
32,8,added,added,Type a,Type a
32,4,added,initial_core,Type a,Type a
33,20,added,added,Type a,Type a
33,0,added,initial_core,Type a,Type a
34,4,added,initial_core,Type a,Type a
34,15,added,added,Type a,Type a
35,4,added,initial_core,Type a,Type a
35,28,added,added,Type a,Type a
36,4,added,initial_core,Type a,Type a
36,27,added,added,Type a,Type a
37,1,added,initial_core,Type a,Type a
37,8,added,added,Type a,Type a
38,28,added,added,Type a,Type a
38,34,added,added,Type a,Type a
39,20,added,added,Type a,Type a
39,18,added,added,Type a,Type a
40,21,added,added,Type a,Type a
40,37,added,added,Type a,Type a
41,1,added,initial_core,Type a,Type a
41,2,added,initial_core,Type a,Type a
42,4,added,initial_core,Type a,Type a
42,26,added,added,Type a,Type a
43,7,added,added,Type a,Type a
43,27,added,added,Type a,Type a
44,1,added,initial_core,Type a,Type a
44,2,added,initial_core,Type a,Type a
45,27,added,added,Type a,Type a
45,1,added,initial_core,Type a,Type a
46,28,added,added,Type a,Type a
46,27,added,added,Type a,Type a
47,37,added,added,Type a,Type a
47,1,added,initial_core,Type a,Type a
48,14,added,added,Type a,Type a
48,4,added,initial_core,Type a,Type a
49,20,added,added,Type a,Type a
49,47,added,added,Type a,Type a
50,16,added,added,Type a,Type a
50,9,added,added,Type a,Type a
51,2,added,initial_core,Type a,Type a
51,0,added,initial_core,Type a,Type a
52,4,added,initial_core,Type a,Type a
52,39,added,added,Type a,Type a
53,7,added,added,Type a,Type a
53,20,added,added,Type a,Type a
54,48,added,added,Type a,Type a
54,30,added,added,Type a,Type a
