# Raw node-level degree data
# Node type: a, n=28,005
# N: 28,005, m: 2
# h: 0.7, f_a: 1
# Generated: 2026-03-18T18:26:12.398700
node_id,in_degree
0,295
1,826
2,521
3,150
4,656
5,42
6,53
7,224
8,166
9,46
10,38
11,74
12,133
13,60
14,133
15,125
16,199
17,269
18,81
19,151
20,220
21,72
22,111
23,31
24,113
25,80
26,58
27,92
28,304
29,56
30,119
31,51
32,12
33,100
34,87
35,15
36,164
37,95
38,10
39,159
40,95
41,19
42,23
43,28
44,36
45,48
46,42
47,64
48,36
49,12
50,40
51,4
52,13
53,13
54,47
55,122
56,54
57,7
58,56
59,16
60,82
61,156
62,36
63,14
64,72
65,86
66,8
67,21
68,86
69,117
70,2
71,23
72,20
73,51
74,12
75,20
76,67
77,19
78,23
79,10
80,78
81,46
82,6
83,47
84,33
85,273
86,20
87,32
88,45
89,17
90,35
91,51
92,62
93,27
94,59
95,68
96,10
97,77
98,71
99,130
100,15
101,87
102,19
103,121
104,20
105,18
106,51
107,13
108,40
109,13
110,12
111,5
112,2
113,21
114,3
115,10
116,46
117,36
118,6
119,75
120,15
121,40
122,20
123,40
124,32
125,18
126,15
127,61
128,58
129,15
130,15
131,21
132,59
133,38
134,16
135,2
136,27
137,14
138,69
139,28
140,25
141,28
142,13
143,43
144,75
145,19
146,2
147,21
148,28
149,2
150,7
151,66
152,48
153,27
154,12
155,17
156,6
157,5
158,80
159,114
160,53
161,8
162,54
163,19
164,17
165,1
166,4
167,36
168,17
169,33
170,6
171,10
172,26
173,33
174,56
175,26
176,40
177,30
178,5
179,12
180,21
181,8
182,11
183,15
184,2
185,1
186,20
187,22
188,30
189,25
190,24
191,46
192,12
193,52
194,6
195,2
196,15
197,16
198,13
199,28
200,15
201,33
202,38
203,2
204,69
205,26
206,22
207,26
208,24
209,13
210,37
211,11
212,13
213,69
214,0
215,24
216,3
217,24
218,19
219,0
220,15
221,33
222,4
223,0
224,34
225,13
226,40
227,10
228,35
229,2
230,20
231,36
232,10
233,20
234,57
235,7
236,36
237,57
238,21
239,9
240,5
241,18
242,16
243,23
244,32
245,9
246,11
247,43
248,34
249,11
250,16
251,62
252,10
253,18
254,17
255,35
256,32
257,9
258,16
259,14
260,15
261,33
262,14
263,16
264,59
265,29
266,3
267,12
268,63
269,46
270,26
271,4
272,4
273,4
274,11
275,44
276,35
277,12
278,0
279,19
280,4
281,8
282,1
283,17
284,27
285,8
286,26
287,19
288,29
289,36
290,26
291,4
292,3
293,13
294,3
295,30
296,5
297,6
298,9
299,0
300,45
301,2
302,40
303,2
304,6
305,10
306,7
307,14
308,1
309,25
310,0
311,1
312,71
313,15
314,9
315,60
316,13
317,12
318,20
319,4
320,14
321,18
322,6
323,52
324,35
325,22
326,22
327,14
328,25
329,14
330,46
331,9
332,28
333,16
334,9
335,26
336,10
337,11
338,4
339,46
340,10
341,12
342,16
343,13
344,32
345,22
346,20
347,10
348,23
349,91
350,21
351,7
352,25
353,22
354,36
355,10
356,33
357,6
358,3
359,5
360,14
361,12
362,8
363,6
364,30
365,2
366,9
367,31
368,0
369,2
370,22
371,1
372,0
373,5
374,30
375,0
376,0
377,6
378,30
379,28
380,53
381,4
382,12
383,18
384,5
385,25
386,41
387,14
388,21
389,6
390,7
391,9
392,3
393,13
394,15
395,13
396,23
397,17
398,6
399,47
400,2
401,21
