# margin grid for p_c=0.1
# Valid region: n0 > m
# Generated: 2026-02-18T17:13:46.082322
m,n0,margin,valid
1,2,0.3695159592531756,True
3,2,,False
5,2,,False
7,2,,False
9,2,,False
11,2,,False
1,4,0.3695159592531756,True
3,4,0.451355990793078,True
5,4,,False
7,4,,False
9,4,,False
11,4,,False
1,6,0.38980028490086305,True
3,6,0.26980028490086305,True
5,6,0.26980028490086305,True
7,6,,False
9,6,,False
11,6,,False
1,8,0.5140303099901175,True
3,8,0.23071796769724492,True
5,8,0.28951595925317564,True
7,8,0.23071796769724492,True
9,8,,False
11,8,,False
1,10,0.3093459130693772,True
3,10,0.41020028653353935,True
5,10,0.23071796769724492,True
7,10,0.23071796769724492,True
9,10,0.21135599079307796,True
11,10,,False
