# Normalization constant A(k)
# Node type: a
# p0: 0.693801, alpha: 3.846154, gamma: 9.714825
# A_asymptotic: 279678787.544652
# Generated: 2026-04-10T16:53:16.131803
k,A_k,A_asymptotic
0,279678787.54465216,279678787.54465216
1,279678787.5446521,279678787.54465216
2,279678787.54465216,279678787.54465216
3,279678787.544652,279678787.54465216
4,279678787.5446521,279678787.54465216
5,279678787.54465157,279678787.54465216
6,279678787.5446515,279678787.54465216
7,279678787.5446516,279678787.54465216
8,279678787.54465157,279678787.54465216
9,279678787.54465145,279678787.54465216
10,279678787.54465157,279678787.54465216
11,279678787.5446515,279678787.54465216
12,279678787.5446516,279678787.54465216
13,279678787.54465145,279678787.54465216
14,279678787.5446515,279678787.54465216
15,279678787.54465175,279678787.54465216
16,279678787.5446514,279678787.54465216
17,279678787.5446516,279678787.54465216
18,279678787.5446517,279678787.54465216
19,279678787.5446516,279678787.54465216
20,279678787.54465175,279678787.54465216
21,279678787.54465014,279678787.54465216
22,279678787.5446492,279678787.54465216
23,279678787.5446502,279678787.54465216
24,279678787.5446518,279678787.54465216
25,279678787.54465085,279678787.54465216
