# Normalization constant A(k)
# Node type: b
# p0: 0.311850, alpha: 6.756757, gamma: 4.061965
# A_asymptotic: 1613.436720
# Generated: 2026-04-10T16:53:16.133806
k,A_k,A_asymptotic
0,1613.4367197651993,1613.4367197651993
1,1613.4367197651998,1613.4367197651993
2,1613.4367197651993,1613.4367197651993
3,1613.4367197652002,1613.4367197651993
4,1613.4367197652,1613.4367197651993
5,1613.4367197651998,1613.4367197651993
6,1613.4367197651923,1613.4367197651993
7,1613.4367197651914,1613.4367197651993
8,1613.4367197651916,1613.4367197651993
9,1613.4367197651918,1613.4367197651993
10,1613.4367197652007,1613.4367197651993
11,1613.4367197652016,1613.4367197651993
12,1613.4367197652023,1613.4367197651993
13,1613.4367197652025,1613.4367197651993
14,1613.4367197652016,1613.4367197651993
15,1613.436719765202,1613.4367197651993
16,1613.4367197652025,1613.4367197651993
17,1613.4367197652014,1613.4367197651993
18,1613.4367197652023,1613.4367197651993
19,1613.4367197652036,1613.4367197651993
20,1613.4367197652036,1613.4367197651993
21,1613.4367197652043,1613.4367197651993
22,1613.436719765225,1613.4367197651993
23,1613.4367197652127,1613.4367197651993
24,1613.436719765238,1613.4367197651993
25,1613.4367197652275,1613.4367197651993
