# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: a
# A: 279678787.544652, alpha: 3.846154, gamma: 9.714825
# Generated: 2026-04-10T16:53:16.154362
k,pmf,A,alpha,gamma
0,579.733140825763,279678787.54465216,3.846153846153846,9.714824753188104
1,61.39681912746333,279678787.54465216,3.846153846153846,9.714824753188104
2,9.923149592420755,279678787.54465216,3.846153846153846,9.714824753188104
3,2.140137567994051,279678787.54465216,3.846153846153846,9.714824753188104
4,0.5691481296088597,279678787.54465216,3.846153846153846,9.714824753188104
5,0.17746209023650916,279678787.54465216,3.846153846153846,9.714824753188104
6,0.06269723775029512,279678787.54465216,3.846153846153846,9.714824753188104
7,0.024498356218148405,279678787.54465216,3.846153846153846,9.714824753188104
8,0.010400244133326759,279678787.54465216,3.846153846153846,9.714824753188104
9,0.004732852694006536,279678787.54465216,3.846153846153846,9.714824753188104
10,0.0022847928082930964,279678787.54465216,3.846153846153846,9.714824753188104
11,0.0011604735879328408,279678787.54465216,3.846153846153846,9.714824753188104
12,0.0006160407385136074,279678787.54465216,3.846153846153846,9.714824753188104
13,0.00033995353423219563,279678787.54465216,3.846153846153846,9.714824753188104
14,0.00019414345399736195,279678787.54465216,3.846153846153846,9.714824753188104
15,0.00011431261638677766,279678787.54465216,3.846153846153846,9.714824753188104
16,6.917691112777624e-05,279678787.54465216,3.846153846153846,9.714824753188104
17,4.29095233321472e-05,279678787.54465216,3.846153846153846,9.714824753188104
18,2.7218628841781984e-05,279678787.54465216,3.846153846153846,9.714824753188104
19,1.7620913465697242e-05,279678787.54465216,3.846153846153846,9.714824753188104
20,1.1622022943228221e-05,279678787.54465216,3.846153846153846,9.714824753188104
21,7.797604544258329e-06,279678787.54465216,3.846153846153846,9.714824753188104
22,5.314722995393976e-06,279678787.54465216,3.846153846153846,9.714824753188104
23,3.6755351468966136e-06,279678787.54465216,3.846153846153846,9.714824753188104
24,2.576431638547118e-06,279678787.54465216,3.846153846153846,9.714824753188104
25,1.828779335234346e-06,279678787.54465216,3.846153846153846,9.714824753188104
