# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: b
# A: 1613.436720, alpha: 6.756757, gamma: 4.061965
# Generated: 2026-04-10T16:53:16.161414
k,pmf,A,alpha,gamma
0,0.6876757169896097,1613.4367197651993,6.756756756756756,4.061965453822847
1,0.39255617236219864,1613.4367197651993,6.756756756756756,4.061965453822847
2,0.23987559377167286,1613.4367197651993,6.756756756756756,4.061965453822847
3,0.15460632690893492,1613.4367197651993,6.756756756756756,4.061965453822847
4,0.10401547142589226,1613.4367197651993,6.756756756756756,4.061965453822847
5,0.07249047615986932,1613.4367197651993,6.756756756756756,4.061965453822847
6,0.05203231401065615,1613.4367197651993,6.756756756756756,4.061965453822847
7,0.03829473242936744,1613.4367197651993,6.756756756756756,4.061965453822847
8,0.028797262776355047,1613.4367197651993,6.756756756756756,4.061965453822847
9,0.022063938501927723,1613.4367197651993,6.756756756756756,4.061965453822847
10,0.017184408508544188,1613.4367197651993,6.756756756756756,4.061965453822847
11,0.013579380870515863,1613.4367197651993,6.756756756756756,4.061965453822847
12,0.010869990226843408,1613.4367197651993,6.756756756756756,4.061965453822847
13,0.008802371963696275,1613.4367197651993,6.756756756756756,4.061965453822847
14,0.007202703990193952,1613.4367197651993,6.756756756756756,4.061965453822847
15,0.0059496399217298344,1613.4367197651993,6.756756756756756,4.061965453822847
16,0.004956972472766937,1613.4367197651993,6.756756756756756,4.061965453822847
17,0.004162479019478415,1613.4367197651993,6.756756756756756,4.061965453822847
18,0.0035205950387000905,1613.4367197651993,6.756756756756756,4.061965453822847
19,0.0029975105366216136,1613.4367197651993,6.756756756756756,4.061965453822847
20,0.0025678313206621405,1613.4367197651993,6.756756756756756,4.061965453822847
21,0.0022122696476123897,1613.4367197651993,6.756756756756756,4.061965453822847
22,0.0019160235423351863,1613.4367197651993,6.756756756756756,4.061965453822847
23,0.0016676240775843176,1613.4367197651993,6.756756756756756,4.061965453822847
24,0.0014581052512522002,1613.4367197651993,6.756756756756756,4.061965453822847
25,0.0012803992421092853,1613.4367197651993,6.756756756756756,4.061965453822847
