# Linear-scale discrete degree distribution
# Node type: a, n=2686
# N: 28004, m: 3
# h: 0.8, f_a: 0.1
# Theories: Diamond, Sterling
# Generated: 2026-04-10T16:53:13.988060
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.7002978406552495,0.6938014171638395,579.733140825763
1,0.1932241250930752,0.19677540006007962,61.39681912746333
2,0.06403574087862993,0.06549036902455936,9.923149592420755
3,0.024571854058078928,0.02460428631237585,2.140137567994051
4,0.008935219657483246,0.010171182116981623,0.5691481296088597
5,0.004095309009679821,0.004544431236313746,0.17746209023650916
6,0.0029784065524944155,0.0021658738328120155,0.06269723775029512
7,0.00037230081906180194,0.00109020757120727,0.024498356218148405
8,0.0007446016381236039,0.0005750970939648865,0.010400244133326759
9,0.00037230081906180194,0.0003159730723814166,0.004732852694006536
10,,0.00017991412390116706,0.0022847928082930964
11,,0.00010573069484902973,0.0011604735879328408
12,,6.391008223228925e-05,0.0006160407385136074
13,,3.962011827666376e-05,0.00033995353423219563
14,,2.512884099488803e-05,0.00019414345399736195
15,,1.627130766615877e-05,0.00011431261638677766
16,,1.073673181357996e-05,6.917691112777624e-05
17,,7.208246867102879e-06,4.29095233321472e-05
18,,4.916865559924142e-06,2.7218628841781984e-05
19,,3.4033989511718617e-06,1.7620913465697242e-05
20,0.00037230081906180194,2.3879680336107106e-06,1.1622022943228221e-05
