# Linear-scale discrete degree distribution
# Node type: b, n=25318
# N: 28004, m: 3
# h: 0.8, f_a: 0.1
# Theories: Diamond, Sterling
# Generated: 2026-04-10T16:53:13.995598
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.31183347815783236,0.3118496875819138,0.6876757169896097
1,0.19519709297732837,0.19476352591815868,0.39255617236219864
2,0.1289596334623588,0.1278254339782269,0.23987559377167286
3,0.08610474761039577,0.0873204219801554,0.15460632690893492
4,0.05968085946757248,0.061652886871513435,0.10401547142589226
5,0.04605419069436764,0.044753191132447336,0.07249047615986932
6,0.03384943518445375,0.0332613706232819,0.05203231401065615
7,0.026344892961529347,0.025228266994661255,0.03829473242936744
8,0.019472312188956474,0.019477217745389654,0.028797262776355047
9,0.015127577217789715,0.015273117980641552,0.022063938501927723
10,0.012402243463148747,0.012142801255358025,0.017184408508544188
11,0.009676909708507781,0.00977360497553852,0.013579380870515863
12,0.007109566316454696,0.007954064610764158,0.010869990226843408
13,0.006319614503515285,0.0065381599265211645,0.008802371963696275
14,0.004344734971166759,0.0054231639364633365,0.007202703990193952
15,0.00446322774310767,0.004535579782314505,0.0059496399217298344
16,0.004660715696342523,0.0038220135477597447,0.004956972472766937
17,0.002883324117228849,0.003243131121030309,0.004162479019478415
18,0.003238802433051584,0.002769583613128131,0.0035205950387000905
19,0.003238802433051584,0.002379214016731857,0.0029975105366216136
20,0.0018563867604076151,0.0020551127666861018,0.0025678313206621405
21,0.0016588988071727625,0.0017842450452747489,0.0022122696476123897
22,0.0015009084445848804,0.0015564690306662553,0.0019160235423351863
23,0.001263922900703057,0.0013638252283894672,0.0016676240775843176
24,0.0009874397661742635,0.0012000162314594546,0.0014581052512522002
25,0.001105932538115175,0.001060021878802431,0.0012803992421092853
26,0.0010664349474682044,0.0009398117767592002,0.0011288910917547667
27,0.001026937356821234,0.000836128575901278,0.0009990874743426965
28,0.000592463859704558,0.00074632317815795,0.0008873679983929431
29,0.0002369855438818232,0.0006682284137136279,0.0007907968220579472
30,0.0005529662690575875,0.0006000614665822514,0.0007069787667502734
31,0.000592463859704558,0.0005403479622042103,0.0006339485566167302
32,0.0004739710877636464,0.00048786250498567365,0.0005700849270608728
33,0.000592463859704558,0.00044158180021075896,0.0005140435530851649
34,0.000513468678410617,0.00040064747061362203,0.00046470432748949286
35,0.0004739710877636464,0.00036433639112439447,0.00042112965908395897
36,0.0003554783158227348,0.0003320368907691373,0.0003825312912905288
37,0.0002369855438818232,0.00030322956079476205,0.0003482437510199819
38,0.00019748795323485267,0.0002774716997816254,0.00031770298867667054
39,0.0003554783158227348,0.0002543846461290277,0.0002904291062760413
40,0.0002369855438818232,0.00023364341474635565,0.0002660123229660741
41,0.0002369855438818232,0.00021496818172336743,0.00024410151790097779
42,3.949759064697053e-05,0.00019811725814630692,0.00022439483541045557
43,7.899518129394107e-05,0.00018288126937724778,0.00020663194835165223
44,0.00019748795323485267,0.00016907831442311902,0.00019058766091702262
45,0.0001184927719409116,0.0001565499254989965,0.0001760665982555098
46,7.899518129394107e-05,0.00014515768354160185,0.0001628987816843229
47,0.00015799036258788213,0.0001347803735113331,0.00015093592848412763
48,7.899518129394107e-05,0.00012531158554569187,0.00014004834687832493
49,0.00019748795323485267,0.00011665768569339748,0.00013012232175746666
50,7.899518129394107e-05,0.00010873609406291566,0.00012105790651063544
51,3.949759064697053e-05,0.00010147381952617046,0.00011276705210222458
52,0.00019748795323485267,9.480620921907475e-05,0.00010517201715590636
