# Raw node-level degree data
# Node type: a, n=2,686
# N: 28,004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-10T16:53:12.083198
node_id,in_degree
8,20
21,9
53,5
55,5
59,4
62,6
65,1
66,5
75,1
79,4
81,3
95,6
120,1
125,6
127,6
151,0
158,1
167,6
203,3
206,1
207,0
215,1
219,1
220,4
227,3
234,0
237,1
244,5
248,1
269,0
278,2
286,2
298,0
310,0
324,2
375,2
390,8
424,6
432,6
434,6
439,1
461,0
467,2
477,2
483,3
487,4
493,4
496,1
518,1
526,1
527,3
548,0
566,3
571,1
591,1
593,1
595,3
609,3
617,5
620,1
623,4
664,2
669,1
674,2
679,1
693,1
701,1
724,0
730,1
735,2
738,4
739,3
752,1
753,1
768,4
774,1
775,2
776,2
799,2
802,1
804,1
808,3
828,1
838,1
843,3
866,3
881,2
892,0
903,0
912,3
922,4
937,0
938,2
945,3
974,0
977,1
988,4
1003,1
1008,0
1011,3
1016,1
1031,2
1051,4
1059,0
1062,5
1118,2
1122,0
1128,2
1135,1
1147,1
1156,3
1157,0
1162,1
1163,0
1164,2
1179,4
1220,1
1232,2
1234,1
1239,1
1248,0
1249,2
1253,0
1265,1
1289,3
1291,1
1326,2
1329,0
1344,1
1348,2
1356,3
1361,3
1373,1
1383,1
1401,2
1404,2
1420,5
1440,1
1444,1
1450,0
1467,4
1487,3
1496,0
1501,3
1511,1
1538,0
1544,1
1588,1
1592,2
1608,1
1611,0
1615,1
1616,0
1618,1
1622,0
1626,2
1629,0
1644,2
1647,2
1658,2
1676,0
1681,0
1683,1
1687,0
1705,1
1715,4
1718,1
1729,0
1730,3
1736,0
1741,0
1748,3
1757,1
1772,3
1780,1
1782,1
1785,1
1806,2
1815,2
1847,2
1848,1
1858,0
1861,0
1868,0
1880,2
1889,1
1916,2
1922,2
1923,2
1925,2
1932,2
1943,5
1977,1
1983,1
1985,1
1986,1
1987,0
1995,2
2019,3
2021,2
2035,0
2036,1
2051,1
2055,1
2058,8
2066,0
2100,2
2101,1
2106,0
2107,2
2149,0
2174,0
2175,0
2187,1
2193,1
2194,2
2211,1
2216,0
2225,0
2230,0
2231,4
2233,3
2252,1
2263,2
2265,2
2296,0
2316,2
2321,3
2332,3
2348,1
2361,1
2376,1
2392,0
2394,3
2396,2
2398,2
2420,2
2426,0
2442,3
2443,0
2445,2
2452,2
2457,1
2461,0
2472,0
2473,1
2488,1
2500,2
2513,0
2517,0
2542,2
2554,0
2562,5
2565,1
2596,1
2604,0
2639,1
2651,1
2669,0
2677,0
2691,0
2692,0
2694,0
2700,2
2705,0
2706,2
2708,1
2713,1
2719,1
2747,1
2754,0
2762,2
2777,2
2778,0
2793,0
2799,1
2807,1
2809,1
2811,2
2812,1
2826,0
2846,1
2851,2
2855,3
2861,7
2865,2
2866,0
2876,1
2888,1
2896,1
2929,1
2930,1
2934,3
2940,1
2976,0
2982,1
2986,2
2994,1
3009,2
3024,2
3025,0
3026,0
3039,1
3054,0
3119,1
3145,1
3154,1
3159,0
3197,2
3202,2
3241,2
3247,1
3250,1
3251,1
3258,2
3261,1
3272,2
3274,2
3275,0
3283,1
3292,0
3293,2
3302,0
3316,1
3321,0
3341,0
3366,3
3367,3
3379,0
3395,0
3417,1
3419,1
3423,0
3430,2
3435,0
3442,0
3443,3
3446,1
3451,0
3472,1
3476,0
3481,0
3486,0
3497,1
3500,4
3503,0
3505,0
3511,2
3521,1
3530,1
