# Raw node-level degree data
# Node type: b, n=25,318
# N: 28,004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-10T16:53:12.145314
node_id,in_degree
0,187
1,141
2,142
3,180
4,171
5,172
6,96
7,81
9,50
10,37
11,52
12,27
13,153
14,88
15,64
16,134
17,34
18,90
19,18
20,86
22,31
23,64
24,58
25,47
26,69
27,78
28,43
29,64
30,73
31,81
32,72
33,16
34,22
35,33
36,28
37,44
38,89
39,44
40,45
41,63
42,99
43,43
44,24
45,44
46,49
47,59
48,35
49,19
50,39
51,86
52,59
54,39
56,18
57,48
58,57
60,53
61,45
63,37
64,80
67,39
68,49
69,76
70,37
71,23
72,16
73,32
74,16
76,49
77,49
78,42
80,24
82,14
83,49
84,52
85,27
86,40
87,27
88,33
89,25
90,17
91,50
92,54
93,35
94,22
96,41
97,46
98,39
99,20
100,59
101,32
102,32
103,27
104,13
105,25
106,36
107,47
108,36
109,13
110,35
111,27
112,33
113,45
114,34
115,20
116,70
117,37
118,40
119,66
121,62
122,34
123,15
124,44
126,28
128,34
129,27
130,13
131,89
132,44
133,55
134,10
135,38
136,32
137,41
138,31
139,33
140,19
141,23
142,20
143,14
144,15
145,13
146,60
147,26
148,51
149,17
150,21
152,33
153,30
154,25
155,30
156,81
157,25
159,27
160,10
161,31
162,25
163,32
164,40
165,16
166,17
168,28
169,16
170,26
171,15
172,13
173,35
174,12
175,15
176,36
177,25
178,41
179,37
180,30
181,36
182,24
183,38
184,10
185,36
186,18
187,32
188,35
189,23
190,36
191,20
192,27
193,47
194,14
195,23
196,19
197,23
198,27
199,23
200,29
201,27
202,21
204,33
205,18
208,23
209,18
210,40
211,30
212,10
213,30
214,26
216,36
217,34
218,17
221,21
222,28
223,40
224,15
225,16
226,7
228,15
229,52
230,18
231,19
232,22
233,24
235,21
236,21
238,21
239,15
240,21
241,20
242,35
243,22
245,15
246,25
247,27
249,18
250,18
251,23
252,10
253,37
254,36
255,17
256,39
257,38
258,19
259,14
260,32
261,33
262,8
263,33
264,13
265,11
266,8
267,41
268,34
270,34
271,24
272,19
273,41
274,18
275,20
276,3
277,12
279,22
280,33
281,47
282,16
283,7
284,24
285,39
287,52
288,20
289,21
290,29
291,33
292,52
293,26
294,14
295,12
296,9
297,18
299,31
300,18
301,9
302,13
303,25
304,18
305,25
306,11
307,26
308,46
309,14
311,21
312,34
313,18
314,34
315,18
316,32
317,13
318,18
319,13
320,31
321,24
322,20
323,9
325,72
326,30
327,14
328,36
329,22
330,34
331,17
332,20
333,11
334,11
335,24
336,16
337,17
338,27
339,31
340,30
341,24
342,22
343,32
344,22
345,15
346,29
347,22
348,35
349,35
350,19
351,21
352,14
353,19
354,21
355,18
356,9
357,15
358,9
359,22
360,20
361,27
362,27
363,39
364,23
365,13
366,16
367,14
368,15
369,18
370,31
371,24
372,14
373,22
374,18
376,33
377,28
378,22
379,23
380,21
381,26
382,9
383,48
384,19
385,11
386,4
387,10
388,23
389,15
391,11
392,17
393,23
394,25
395,22
396,21
397,16
398,31
399,17
400,13
401,15
402,19
403,30
404,21
405,25
406,20
407,21
408,24
409,27
410,27
411,27
412,17
413,11
414,15
415,26
416,19
417,38
418,22
419,4
420,8
421,19
422,14
423,16
425,4
426,11
427,35
428,9
429,29
430,21
431,28
433,22
435,18
436,26
437,25
438,17
440,22
441,38
442,8
443,18
444,16
445,19
446,32
447,18
448,9
449,14
450,23
451,15
452,27
453,24
454,22
455,20
456,7
457,21
458,40
459,8
460,30
462,11
463,20
464,22
465,34
466,12
468,19
469,18
470,18
471,26
472,19
473,27
474,23
475,19
476,13
478,20
479,30
480,27
481,18
482,19
484,12
485,33
486,25
488,10
489,7
490,26
491,17
492,13
494,15
495,17
497,12
498,16
499,16
500,16
501,25
502,18
503,9
504,19
505,26
506,34
507,17
508,12
509,8
510,28
511,16
512,11
513,22
514,10
515,4
516,15
517,28
519,13
520,14
521,10
522,20
523,18
524,10
525,14
528,25
529,25
530,15
531,11
532,14
533,20
534,29
535,13
536,26
537,22
538,9
539,29
540,11
541,20
542,27
543,27
544,20
545,11
546,23
547,12
549,15
550,32
551,24
552,31
553,16
554,5
555,16
556,31
557,16
558,18
559,12
560,19
561,14
562,19
563,18
564,12
565,15
567,8
568,26
569,22
570,21
572,11
573,18
574,12
575,16
576,9
577,26
578,18
579,9
580,35
581,13
582,17
583,16
584,17
585,17
586,21
587,30
588,39
589,13
590,20
592,8
594,19
596,25
597,17
598,11
599,12
600,4
601,26
602,20
603,26
604,19
605,15
606,25
607,34
608,24
610,15
611,20
612,5
613,13
614,8
615,11
616,19
618,12
619,31
621,22
622,11
624,10
625,16
626,12
627,16
628,7
629,19
630,12
631,17
632,16
633,18
634,11
635,8
636,27
637,5
638,15
639,28
640,6
641,12
642,6
643,17
644,15
645,21
646,18
647,16
648,19
649,33
650,19
651,13
652,7
653,3
654,10
655,11
656,25
657,21
658,25
659,22
660,13
661,10
662,8
663,21
665,12
666,5
667,13
668,27
670,20
671,10
672,31
673,18
675,13
676,41
677,15
678,5
680,11
681,17
682,22
683,7
684,8
685,11
686,21
687,23
688,19
689,18
690,13
691,19
692,7
694,16
695,17
696,18
697,30
698,20
699,31
700,5
702,12
703,6
704,5
705,5
706,19
707,10
708,8
709,11
710,8
711,7
712,22
713,23
714,13
715,18
716,14
717,14
718,14
719,14
720,19
721,10
722,12
723,14
725,19
726,8
727,17
728,8
729,26
731,14
732,16
733,15
734,8
736,7
737,16
740,19
741,14
742,12
743,11
744,19
745,5
746,5
747,22
748,15
749,3
750,12
751,6
754,6
755,26
756,14
757,6
758,20
759,21
760,16
761,22
762,4
763,33
764,17
765,3
766,9
767,4
769,6
770,6
771,15
772,17
773,22
777,7
778,18
779,15
780,15
781,39
782,8
783,21
784,9
785,32
786,26
787,15
788,7
789,26
790,19
791,14
792,26
793,15
794,4
795,19
796,5
797,17
798,10
800,11
801,24
803,12
805,13
806,12
807,35
809,11
810,20
811,6
812,18
813,11
814,12
815,30
816,17
817,17
818,6
819,15
820,3
821,5
822,13
823,20
824,14
825,24
826,11
827,12
829,14
830,10
831,12
832,17
833,15
834,12
835,23
836,25
837,31
839,19
840,10
841,16
842,9
844,14
845,21
846,18
847,17
848,23
849,7
850,16
851,8
852,11
853,10
854,11
855,20
856,16
857,27
858,7
859,6
860,14
861,20
862,25
863,9
864,4
865,18
867,28
868,12
869,16
870,31
871,14
872,17
873,5
874,7
875,11
876,11
877,21
878,13
879,9
880,19
882,17
883,6
884,18
885,8
886,14
887,8
888,18
889,19
890,4
891,25
893,20
894,12
895,22
896,8
897,10
898,21
899,11
900,9
901,18
902,19
904,10
905,23
906,18
907,10
908,13
909,13
910,16
911,13
913,12
914,18
915,10
916,23
917,11
918,9
919,20
920,16
921,19
923,10
924,7
925,14
926,8
927,7
928,7
929,13
930,17
931,13
932,13
933,13
934,11
935,7
936,6
939,16
940,12
941,13
942,6
943,7
944,10
946,15
947,9
948,13
949,7
950,8
951,1
952,14
953,11
954,12
955,11
956,19
957,12
958,9
959,16
960,15
961,2
962,7
963,11
964,12
965,12
966,8
967,19
968,7
969,19
970,5
971,14
972,10
973,13
975,16
976,19
978,23
979,16
980,9
981,17
982,12
983,9
984,16
985,2
986,23
987,18
989,19
990,15
991,19
992,16
993,20
994,13
995,12
996,13
997,5
998,28
999,12
1000,18
1001,7
1002,19
1004,8
1005,14
1006,10
1007,17
1009,15
1010,18
1012,18
1013,18
1014,7
1015,11
1017,13
1018,12
1019,10
1020,21
1021,14
1022,19
1023,18
1024,8
1025,7
1026,7
1027,15
1028,12
1029,12
1030,10
1032,23
1033,10
1034,17
1035,14
1036,10
1037,11
1038,9
1039,10
1040,2
1041,10
1042,23
1043,15
1044,17
1045,0
1046,8
1047,24
1048,14
1049,7
1050,22
1052,18
1053,4
1054,11
1055,19
1056,11
1057,17
1058,9
1060,12
1061,18
1063,9
1064,13
1065,6
1066,16
1067,18
1068,11
1069,12
1070,13
1071,5
1072,12
1073,11
1074,15
1075,18
1076,15
1077,10
1078,12
1079,16
1080,3
1081,10
1082,19
1083,18
1084,10
1085,7
1086,15
1087,5
1088,10
1089,14
1090,13
1091,4
1092,15
1093,13
1094,12
1095,27
1096,0
1097,8
1098,4
1099,12
1100,17
1101,7
1102,28
1103,13
1104,15
1105,13
1106,11
1107,7
1108,9
1109,10
1110,19
1111,12
1112,15
1113,9
1114,10
1115,13
1116,16
1117,9
1119,6
1120,16
1121,33
1123,16
1124,7
1125,15
1126,15
1127,13
1129,4
1130,26
1131,2
1132,10
1133,8
1134,12
1136,7
1137,15
1138,11
1139,5
1140,11
1141,16
1142,15
1143,14
1144,11
1145,6
1146,5
1148,11
1149,3
1150,35
1151,13
1152,10
1153,3
1154,16
1155,14
1158,19
1159,10
1160,13
1161,13
1165,7
1166,6
1167,21
1168,20
1169,8
1170,9
1171,11
1172,10
1173,7
1174,11
1175,16
1176,15
1177,7
1178,9
1180,24
1181,14
1182,5
1183,13
1184,6
1185,19
1186,23
1187,8
1188,9
1189,30
1190,14
1191,6
1192,16
1193,7
1194,13
1195,7
1196,7
1197,26
1198,4
1199,10
1200,15
1201,14
1202,6
1203,7
1204,6
1205,8
1206,12
1207,11
1208,21
1209,9
1210,5
1211,20
1212,16
1213,7
1214,19
1215,19
1216,10
1217,12
1218,11
1219,10
1221,25
1222,11
1223,17
1224,25
1225,9
1226,12
1227,25
1228,16
1229,2
1230,10
1231,18
1233,19
1235,6
1236,6
1237,12
1238,24
1240,13
1241,10
1242,14
1243,16
1244,8
1245,5
1246,8
1247,7
1250,19
1251,12
1252,8
1254,6
1255,4
1256,6
1257,8
1258,14
1259,20
1260,5
1261,7
1262,9
1263,4
1264,5
1266,20
1267,8
1268,10
1269,11
1270,4
1271,14
1272,7
1273,6
1274,8
1275,11
1276,6
1277,12
1278,13
1279,12
1280,10
1281,10
1282,9
1283,26
1284,6
1285,8
1286,19
1287,18
1288,11
1290,5
1292,7
1293,12
1294,7
1295,10
1296,8
1297,9
1298,16
1299,15
1300,11
1301,21
1302,9
1303,10
1304,12
1305,9
1306,9
1307,10
1308,7
1309,15
1310,16
1311,18
1312,5
1313,9
1314,12
1315,6
1316,23
1317,20
1318,6
1319,15
1320,15
1321,19
1322,12
1323,3
1324,18
1325,1
1327,5
1328,5
1330,13
1331,7
1332,6
1333,5
1334,16
1335,19
1336,13
1337,16
1338,5
1339,19
1340,9
1341,5
1342,11
1343,13
1345,6
1346,12
1347,3
1349,14
1350,12
1351,6
1352,5
1353,12
1354,9
1355,8
1357,9
1358,4
1359,15
1360,12
1362,21
1363,20
1364,14
1365,9
1366,8
1367,8
1368,15
1369,9
1370,1
1371,3
1372,6
1374,12
1375,20
1376,15
1377,18
1378,20
1379,7
1380,6
1381,23
1382,13
1384,13
1385,20
1386,15
1387,21
1388,19
1389,6
1390,9
1391,9
1392,7
1393,17
1394,10
1395,10
1396,23
1397,4
1398,5
1399,13
1400,12
1402,21
1403,3
1405,8
1406,9
1407,7
1408,5
1409,8
1410,9
1411,14
1412,10
1413,7
1414,14
1415,7
1416,17
1417,8
1418,11
1419,10
1421,3
1422,20
1423,8
1424,11
1425,12
1426,5
1427,6
1428,15
1429,11
1430,5
1431,10
1432,6
1433,13
1434,13
1435,16
1436,5
1437,5
1438,6
1439,16
1441,17
1442,8
1443,16
1445,9
1446,10
1447,15
1448,12
1449,7
1451,8
1452,11
1453,12
1454,9
1455,10
1456,6
1457,8
1458,19
1459,13
1460,5
1461,11
1462,13
1463,6
1464,10
1465,7
1466,7
1468,15
1469,18
1470,6
1471,13
1472,5
1473,4
1474,18
1475,16
1476,6
1477,6
1478,9
1479,10
1480,16
1481,13
1482,7
1483,10
1484,19
1485,13
1486,14
1488,22
1489,19
1490,6
1491,19
1492,1
1493,3
1494,9
1495,4
1497,16
1498,16
1499,15
1500,8
1502,3
1503,7
1504,7
1505,19
1506,19
1507,7
1508,11
1509,11
1510,8
1512,8
1513,10
1514,17
1515,13
1516,21
1517,17
