# frac_edges grid for p_c=0.4
# Generated: 2026-02-15T15:22:53.334508
# Valid region: n0 > m
m,n0,frac_edges,valid
1,10,0.425,True
6,10,0.972550382209868,True
11,10,,False
16,10,,False
21,10,,False
1,30,0.0,True
6,30,0.7203038674033149,True
11,30,0.7890123984608807,True
16,30,0.6390749601275917,True
21,30,0.6085050416483998,True
1,50,0.0,True
6,50,0.5377233620119126,True
11,50,0.6155271828665568,True
16,50,0.5369874594899253,True
21,50,0.7067146580613132,True
1,70,0.0,True
6,70,0.5493004663557628,True
11,70,0.49873516248297334,True
16,70,0.550561797752809,True
21,70,0.4591947769314472,True
1,90,0.0,True
6,90,0.46956817409044543,True
11,90,0.4560817084493965,True
16,90,0.45060373216245886,True
21,90,0.3967463141840366,True
