# frac_nodes grid for p_c=0.1
# Generated: 2026-02-15T15:22:51.864376
# Valid region: n0 > m
m,n0,frac_nodes,valid
1,10,1.0,True
6,10,1.0,True
11,10,,False
16,10,,False
21,10,,False
1,30,0.9951690821256038,True
6,30,0.9649532710280374,True
11,30,0.972027972027972,True
16,30,0.973170731707317,True
21,30,0.9513888888888888,True
1,50,0.9976798143851509,True
6,50,0.9344978165938864,True
11,50,0.9300225733634312,True
16,50,0.9441964285714286,True
21,50,0.9568181818181818,True
1,70,1.0,True
6,70,0.8847926267281107,True
11,70,0.9208791208791208,True
16,70,0.9138655462184874,True
21,70,0.8888888888888888,True
1,90,1.0,True
6,90,0.8943965517241379,True
11,90,0.9079497907949791,True
16,90,0.8732106339468303,True
21,90,0.8630705394190872,True
