# Log-binned degree distribution
# Node type: b, n=12,611
# N: 28,030, m: 2
# h: 0.7, f_a: 0.55
# Theories: Diamond, Sterling
# Generated: 2026-02-17T23:43:05.918672
k_bin_center,empirical_prob,Diamond_prob,Sterling_prob
0.0,0.49702640551899135,0.5007238558794193,1.5601657634273245
1.0,0.20141146618031877,0.20166898878114048,0.464695632523288
2.0,0.09959559115058282,0.10073581340624332,0.1951112779705381
3.0,0.06026484814844184,0.05734764762028096,0.09916960976844658
4.0,0.03393862500991198,0.03566959996440529,0.0569415079147349
5.0,0.02569185631591468,0.02365605415835399,0.035582256281980744
6.0,0.016652129093648403,0.01647188973269064,0.023661877175969587
7.0,0.013004519863611133,0.011917234458128284,0.016502801470945763
8.0,0.008960431369439378,0.008892698078831657,0.011951630132847902
9.0,0.006264372373324875,0.006807107700448896,0.008923969289833572
10.0,0.005867893109190389,0.005323290799826492,0.006833701239276884
11.0,0.003964792641344857,0.004239394780143915,0.005345333403505482
12.0,0.0026960589961145033,0.0034295689134172013,0.00425750164455152
13.0,0.0027753548489414005,0.002812588642314374,0.0034444238578963584
14.0,0.0023788755848069146,0.002334446417399308,0.0028248067767579197
15.0,0.0027753548489414005,0.0019582878314292787,0.0023445407963822618
16.0,0.0019031004678455316,0.0016583834229098912,0.001966672784238966
17.0,0.0021409880263262232,0.0014164036492735701,0.0016653889290812
18.0,0.0014273253508841487,0.001219052879286688,0.0014222912332828494
19.0,0.0009515502339227658,0.0010565293364496536,0.0012240297983039242
20.0,0.0011101419395765603,0.0009215004209130269,0.0010607602690132522
21.0,0.0006343668226151772,0.0008084073167695508,0.0009251167519306269
22.0,0.001506621203711046,0.000712984529033099,0.0008115143863529191
23.0,0.0007929585282689715,0.0006319224555053282,0.0007156672486542914
24.0,0.0006343668226151772,0.0005626268461152593,0.0006342496493644627
25.0,0.00023788755848069146,0.000503044962389882,0.000564654609973457
26.0,0.00039647926413448575,0.00045153834398158337,0.0005048192693499828
27.0,0.0003171834113075886,0.0004067885925127437,0.00045309707387940055
28.0,0.0003171834113075886,0.00036772684474572153,0.00040816311960151263
29.0,0.00023788755848069146,0.0003334804441657027,0.00036894328593825375
30.0,0.0003171834113075886,0.000303332236483432,0.0003345606454355269
31.0,7.929585282689715e-05,0.00027668922676896796,0.00030429455639960145
32.0,0.0001585917056537943,0.00025305824585269705,0.0002775491621112598
33.0,0.0001585917056537943,0.00023202691210570613,0.00025382893368961916
34.0,0.0001585917056537943,0.0002132486277068721,0.00023271953474808578
35.0,7.929585282689715e-05,0.00019643067326128915,0.0002138727409201683
36.0,0.00023788755848069146,0.00018132469974498053,0.00019699447354120617
37.0,7.929585282689715e-05,0.00016771908853700226,0.00018183524297006655
39.0,7.929585282689715e-05,0.0001443102404822092,0.00015585427814816057
40.0,0.00023788755848069146,0.00013421739446645397,0.00014469445429185149
41.0,0.00023788755848069146,0.00012503822899935434,0.00013456832570755097
42.0,0.00023788755848069146,0.00011667203388935734,0.0001253593803089799
43.0,0.00023788755848069146,0.00010903109930199721,0.00011696647725150598
44.0,0.0001585917056537943,0.00010203880255218873,0.00010930153625326982
45.0,7.929585282689715e-05,9.56280096371848e-05,0.00010228761500604803
48.0,7.929585282689715e-05,7.932893514785596e-05,8.451765235910795e-05
50.0,7.929585282689715e-05,7.045872205935994e-05,7.488777578566556e-05
52.0,7.929585282689715e-05,6.285532335680473e-05,6.665831223367754e-05
53.0,7.929585282689715e-05,5.945888433284109e-05,6.299018673587663e-05
54.0,7.929585282689715e-05,5.6301205214346765e-05,5.9584561398375796e-05
63.0,7.929585282689715e-05,3.5825561196665565e-05,3.7622621127414564e-05
66.0,7.929585282689715e-05,3.123602876661857e-05,3.27330773246996e-05
73.0,7.929585282689715e-05,2.3185854248036867e-05,2.4192457385333833e-05
74.0,7.929585282689715e-05,2.226955260739396e-05,2.3223543283970923e-05
77.0,7.929585282689715e-05,1.9792824561728517e-05,2.060824926209379e-05
78.0,7.929585282689715e-05,1.90486913380172e-05,1.9823568788526332e-05
81.0,7.929585282689715e-05,1.7027123072830137e-05,1.7694531400769657e-05
93.0,7.929585282689715e-05,1.1277735041730655e-05,1.1663560032784068e-05
99.0,7.929585282689715e-05,9.35365093987815e-06,9.654516431890652e-06
110.0,7.929585282689715e-05,6.819089493268066e-06,7.016759897962318e-06
128.0,7.929585282689715e-05,4.321253503330889e-06,4.429084647563928e-06
143.0,7.929585282689715e-05,3.0923337607485265e-06,3.1614797762595466e-06
144.49913494550754,7.929585282689715e-05,2.9963427122469515e-06,3.062653609597689e-06
152.0,7.929585282689715e-05,2.570950582457381e-06,2.6250640973903223e-06
153.49918566559236,7.929585282689715e-05,2.495681659698004e-06,2.547702309502587e-06
