# Normalization constant A(k)
# Node type: a
# p0: 0.439392, alpha: 1.470588, gamma: 2.152615
# A_asymptotic: 1.893534
# Generated: 2026-02-17T18:37:19.957274
k,A_k,A_asymptotic
0,1.8935340652674924,1.8935340652674924
1,1.8935340652674924,1.8935340652674924
2,1.8935340652674924,1.8935340652674924
3,1.8935340652674941,1.8935340652674924
4,1.8935340652674937,1.8935340652674924
5,1.8935340652674948,1.8935340652674924
6,1.8935340652674952,1.8935340652674924
7,1.893534065267496,1.8935340652674924
8,1.893534065267496,1.8935340652674924
9,1.893534065267496,1.8935340652674924
10,1.8935340652674968,1.8935340652674924
11,1.8935340652674977,1.8935340652674924
12,1.8935340652674966,1.8935340652674924
13,1.8935340652674875,1.8935340652674924
14,1.8935340652674886,1.8935340652674924
15,1.8935340652674957,1.8935340652674924
16,1.893534065267497,1.8935340652674924
17,1.8935340652674966,1.8935340652674924
18,1.8935340652674968,1.8935340652674924
19,1.8935340652674961,1.8935340652674924
20,1.8935340652674966,1.8935340652674924
21,1.893534065267496,1.8935340652674924
22,1.893534065267496,1.8935340652674924
23,1.8935340652674972,1.8935340652674924
24,1.893534065267496,1.8935340652674924
25,1.893534065267497,1.8935340652674924
