# Normalization constant A(k)
# Node type: b
# p0: 0.439392, alpha: 3.125000, gamma: 3.449307
# A_asymptotic: 64.222292
# Generated: 2026-02-17T18:37:19.959804
k,A_k,A_asymptotic
0,64.22229230303942,64.22229230303942
1,64.22229230303942,64.22229230303942
2,64.22229230303954,64.22229230303942
3,64.22229230303955,64.22229230303942
4,64.22229230303954,64.22229230303942
5,64.22229230303955,64.22229230303942
6,64.22229230303955,64.22229230303942
7,64.22229230303952,64.22229230303942
8,64.22229230303955,64.22229230303942
9,64.22229230303954,64.22229230303942
10,64.22229230303952,64.22229230303942
11,64.22229230303952,64.22229230303942
12,64.22229230303955,64.22229230303942
13,64.22229230303954,64.22229230303942
14,64.22229230303955,64.22229230303942
15,64.22229230303957,64.22229230303942
16,64.22229230303955,64.22229230303942
17,64.22229230303954,64.22229230303942
18,64.22229230303955,64.22229230303942
19,64.22229230303957,64.22229230303942
20,64.2222923030396,64.22229230303942
21,64.22229230303957,64.22229230303942
22,64.22229230303958,64.22229230303942
23,64.22229230303955,64.22229230303942
24,64.22229230303957,64.22229230303942
25,64.22229230303952,64.22229230303942
