# Power law 1 PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: a
# A: 1.893534, alpha: 1.470588, gamma: 2.152615
# Generated: 2026-02-17T18:37:19.979840
k,pmf,A,alpha,gamma
0,0.8255232208218094,1.8935340652674924,1.4705882352941173,2.1526150111882276
1,0.27022476751150054,1.8935340652674924,1.4705882352941173,2.1526150111882276
2,0.13001495752164774,1.8935340652674924,1.4705882352941173,2.1526150111882276
3,0.07538559540399084,1.8935340652674924,1.4705882352941173,2.1526150111882276
4,0.048816877499363885,1.8935340652674924,1.4705882352941173,2.1526150111882276
5,0.03401131342047632,1.8935340652674924,1.4705882352941173,2.1526150111882276
6,0.024961832862947973,1.8935340652674924,1.4705882352941173,2.1526150111882276
7,0.019047256980099073,1.8935340652674924,1.4705882352941173,2.1526150111882276
8,0.014979917910682957,1.8935340652674924,1.4705882352941173,2.1526150111882276
9,0.01206891039291441,1.8935340652674924,1.4705882352941173,2.1526150111882276
10,0.00991729108976259,1.8935340652674924,1.4705882352941173,2.1526150111882276
11,0.008284197534435765,1.8935340652674924,1.4705882352941173,2.1526150111882276
12,0.007016792891982588,1.8935340652674924,1.4705882352941173,2.1526150111882276
13,0.006014411502464203,1.8935340652674924,1.4705882352941173,2.1526150111882276
14,0.005208622356227682,1.8935340652674924,1.4705882352941173,2.1526150111882276
15,0.004551628711397156,1.8935340652674924,1.4705882352941173,2.1526150111882276
16,0.004009251399432826,1.8935340652674924,1.4705882352941173,2.1526150111882276
17,0.0035565400117443377,1.8935340652674924,1.4705882352941173,2.1526150111882276
18,0.0031749462421708247,1.8935340652674924,1.4705882352941173,2.1526150111882276
19,0.0028504557838552403,1.8935340652674924,1.4705882352941173,2.1526150111882276
20,0.002572325116106248,1.8935340652674924,1.4705882352941173,2.1526150111882276
21,0.0023322096415932156,1.8935340652674924,1.4705882352941173,2.1526150111882276
22,0.0021235507393747416,1.8935340652674924,1.4705882352941173,2.1526150111882276
23,0.0019411376003337982,1.8935340652674924,1.4705882352941173,2.1526150111882276
24,0.001780789223174638,1.8935340652674924,1.4705882352941173,2.1526150111882276
25,0.001639120403139183,1.8935340652674924,1.4705882352941173,2.1526150111882276
