# Power law 1 PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: b
# A: 64.222292, alpha: 3.125000, gamma: 3.449307
# Generated: 2026-02-17T18:37:19.986840
k,pmf,A,alpha,gamma
0,1.2612355665536676,64.22229230303942,3.125,3.449306898774984
1,0.4840605796604073,64.22229230303942,3.125,3.449306898774984
2,0.2289464121464112,64.22229230303942,3.125,3.449306898774984
3,0.12379848389766523,64.22229230303942,3.125,3.449306898774984
4,0.07347998723413399,64.22229230303942,3.125,3.449306898774984
5,0.046711711211721574,64.22229230303942,3.125,3.449306898774984
6,0.03130025885343277,64.22229230303942,3.125,3.449306898774984
7,0.021866022135339325,64.22229230303942,3.125,3.449306898774984
8,0.01580068542858013,64.22229230303942,3.125,3.449306898774984
9,0.011741805332894045,64.22229230303942,3.125,3.449306898774984
10,0.008933427809056722,64.22229230303942,3.125,3.449306898774984
11,0.006934620297098342,64.22229230303942,3.125,3.449306898774984
12,0.005477146769402626,64.22229230303942,3.125,3.449306898774984
13,0.004391861915639032,64.22229230303942,3.125,3.449306898774984
14,0.0035687434803799716,64.22229230303942,3.125,3.449306898774984
15,0.0029342611553396375,64.22229230303942,3.125,3.449306898774984
16,0.002438086452231993,64.22229230303942,3.125,3.449306898774984
17,0.0020450343476095746,64.22229230303942,3.125,3.449306898774984
18,0.0017300368164287951,64.22229230303942,3.125,3.449306898774984
19,0.001474927351263099,64.22229230303942,3.125,3.449306898774984
20,0.0012663368408495632,64.22229230303942,3.125,3.449306898774984
21,0.0010942882393034632,64.22229230303942,3.125,3.449306898774984
22,0.0009512403743384241,64.22229230303942,3.125,3.449306898774984
23,0.0008314262544938684,64.22229230303942,3.125,3.449306898774984
24,0.000730388029053942,64.22229230303942,3.125,3.449306898774984
25,0.0006446454747022398,64.22229230303942,3.125,3.449306898774984
