# Asymptotic in-edge density evolution
# N: 1035, m: 3
# h: 0.2, f_a: 0.2
# g_a: 1.087041, g_b: 1.912959
# Generated: 2026-02-17T18:37:18.921503
t,mean_deg_a,mean_deg_b,asymptote_a,asymptote_b
35,0.42857142857142855,2.657142857142857,1.0870406189555126,1.9129593810444874
135,0.8296296296296296,2.1925925925925926,1.0870406189555126,1.9129593810444874
235,0.8893617021276595,2.123404255319149,1.0870406189555126,1.9129593810444874
335,0.9671641791044776,2.0417910447761196,1.0870406189555126,1.9129593810444874
435,0.9724137931034482,2.0344827586206895,1.0870406189555126,1.9129593810444874
535,0.9794392523364486,2.0261682242990653,1.0870406189555126,1.9129593810444874
635,1.020472440944882,1.984251968503937,1.0870406189555126,1.9129593810444874
735,1.0394557823129251,1.9646258503401361,1.0870406189555126,1.9129593810444874
835,1.0538922155688624,1.9497005988023952,1.0870406189555126,1.9129593810444874
935,1.0716577540106953,1.9315508021390375,1.0870406189555126,1.9129593810444874
1034,1.0870406189555126,1.9158607350096712,1.0870406189555126,1.9129593810444874
