# Linear-scale discrete degree distribution
# Node type: a, n=212
# N: 1035, m: 3
# Theories: Diamond, Sterling
# Generated: 2026-02-17T18:37:17.837608
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.4009433962264151,0.439392186912645,0.8255232208218094
1,0.1650943396226415,0.1783408041989449,0.27022476751150054
2,0.11320754716981132,0.095303336071597,0.13001495752164774
3,0.06132075471698113,0.05882032401394626,0.07538559540399084
4,0.05188679245283019,0.039703061909295616,0.048816877499363885
5,0.04245283018867924,0.0284918421250767,0.03401131342047632
6,0.014150943396226415,0.021379407766085524,0.024961832862947973
7,0.018867924528301886,0.016597046538870192,0.019047256980099073
8,,0.013233931789767395,0.014979917910682957
9,0.014150943396226415,0.010783010161401665,0.01206891039291441
10,0.014150943396226415,0.008944200384992754,0.00991729108976259
11,0.009433962264150943,0.0075309189662645755,0.008284197534435765
12,0.0047169811320754715,0.006422326755544757,0.007016792891982588
13,0.0047169811320754715,0.005537437993449543,0.006014411502464203
14,0.0047169811320754715,0.004820369690097974,0.005208622356227682
15,,0.004231577742955608,0.004551628711397156
16,0.009433962264150943,0.003742458999529078,0.004009251399432826
17,0.0047169811320754715,0.0033319208564974705,0.0035565400117443377
18,0.009433962264150943,0.0029841406030583738,0.0031749462421708247
19,0.0047169811320754715,0.0026870659381987775,0.0028504557838552403
20,,0.002431389568606036,0.002572325116106248
21,,0.0022098342770218104,0.0023322096415932156
22,0.009433962264150943,0.002016645665883858,0.0021235507393747416
23,0.014150943396226415,0.0018472264995575242,0.0019411376003337982
24,0.0047169811320754715,0.001697869284529778,0.001780789223174638
25,,0.0015655580939592335,0.001639120403139183
26,,0.0014478199140314492,0.0015133673307193025
27,,0.00134261188320138,0.0014012560899671702
28,,0.0012482348687944704,0.001300902429646775
29,0.0047169811320754715,0.0011632665910677388,0.0012107346039412405
30,,0.0010865094097748098,0.0011294334196840729
31,,0.0010169492180187429,0.0010558852492061964
32,,0.0009537228279952882,0.0009891449068339616
33,,0.0008960919051989723,0.000928406096418658
34,,0.0008434219933522977,0.0008729777188911385
35,,0.0007951655269434562,0.000822264751203481
36,,0.0007508479896653032,0.0007757527177779053
37,,0.0007100565714748155,0.0007329950048662981
38,,0.0006724308228287669,0.0006936024394240718
39,,0.0006376549149142508,0.0006572346829882876
40,,0.0006054511986927193,0.0006235930888369345
41,,0.000575574820025987,0.0005924147454453332
42,,0.0005478091979390586,0.0005634674867784597
43,,0.0005219622117820294,0.0005365456945241401
44,,0.0004978629733317102,0.0005114667521176731
45,,0.00047535908369703516,0.00048806803766010776
46,,0.00045431429374185293,0.000466204364328617
47,,0.0004346065017307441,0.0004457457939261573
48,,0.00041612603389012476,0.0004265757628094713
49,,0.000398774163204739,0.00040858947032432365
50,,0.00038246182954144753,0.00039169248864338977
51,,0.00036710853049115724,0.0003757995599916335
52,,0.000352641357449236,0.00036083355300222823
53,,0.00033899415564665145,0.00034672455464269144
54,,0.00032610679028560697,0.00033340907799706693
