# Linear-scale discrete degree distribution
# Node type: b, n=823
# N: 1035, m: 3
# Theories: Diamond, Sterling
# Generated: 2026-02-17T18:37:17.843621
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.42770352369380316,0.439392186912645,1.2612355665536676
1,0.212636695018226,0.20885860749182103,0.4840605796604073
2,0.1117861482381531,0.11374529279280986,0.2289464121464112
3,0.05953827460510328,0.0679873758246787,0.12379848389766523
4,0.05103280680437424,0.04349376736392663,0.07347998723413399
5,0.032806804374240585,0.029306232118520983,0.046711711211721574
6,0.014580801944106925,0.02057256110844826,0.03130025885343277
7,0.01701093560145808,0.014929222073693696,0.021866022135339325
8,0.010935601458080195,0.011135623691386425,0.01580068542858013
9,0.012150668286755772,0.008500151288641159,0.011741805332894045
10,0.006075334143377886,0.006617587225206196,0.008933427809056722
11,0.0036452004860267314,0.005240390012160982,0.006934620297098342
12,0.0036452004860267314,0.004211859355143808,0.005477146769402626
13,0.002430133657351154,0.003429703896555707,0.004391861915639032
14,0.001215066828675577,0.002825335048538647,0.0035687434803799716
15,0.0036452004860267314,0.002351664284209991,0.0029342611553396375
16,0.002430133657351154,0.001975679466844252,0.002438086452231993
17,0.002430133657351154,0.0016737997747982584,0.0020450343476095746
18,0.001215066828675577,0.0014288954755893742,0.0017300368164287951
19,0.0036452004860267314,0.0012283323817092165,0.001474927351263099
20,0.001215066828675577,0.0010626623842782694,0.0012663368408495632
21,,0.0009247303318216675,0.0010942882393034632
22,0.001215066828675577,0.0008090545788546651,0.0009512403743384241
23,,0.0007113907037442429,0.0008314262544938684
24,0.002430133657351154,0.0006284198713068791,0.000730388029053942
25,0.0036452004860267314,0.0005575233173930787,0.0006446454747022398
26,0.001215066828675577,0.0004966171815568389,0.0005714565500681167
27,0.001215066828675577,0.0004440301817561251,0.0005086423385324515
28,,0.00039841207342664167,0.0004544576165697816
29,,0.00035866447942716444,0.00040749414903553017
30,,0.0003238881486681713,0.00036660772740776095
31,,0.0002933423989230188,0.0003308626167970213
32,0.001215066828675577,0.000266413679704476,0.00029948889462928454
33,,0.0002425910211212877,0.0002718494251842091
34,0.001215066828675577,0.00022144672452312637,0.0002474140996614104
35,,0.00020262107417955906,0.0002257395997895137
36,0.001215066828675577,0.00018581015606355985,0.0002064533933668699
37,,0.00017075609412201548,0.00018924099600873962
38,,0.00015723917978919229,0.00017383577130265212
39,,0.00014507149339450964,0.00016001071675863515
40,,0.00013409170813759378,0.00014757181296754223
41,,0.0001241608367034204,0.00013635261062633553
42,0.001215066828675577,0.0001151587332884402,0.00012620980334567463
43,0.002430133657351154,0.00010698120408532279,0.0001170195897208848
44,,9.95376102486162e-05,0.00010867467057127692
45,,9.27488713261938e-05,0.00010108175984583013
46,,8.654579578419991e-05,9.41595128831631e-05
47,0.001215066828675577,8.086767983617373e-05,8.783679529320722e-05
