# Linear-scale discrete degree distribution
# Node type: a, n=15341
# N: 28004, m: 3
# h: 0.7, f_a: 0.55
# Theories: Diamond, Sterling
# Generated: 2026-02-18T19:14:39.403399
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.45766247311127045,0.45521293897668397,1.0349380805928892
1,0.19066553679681897,0.19324880572730327,0.34743155904962303
2,0.1029267974708298,0.10214921110955831,0.16134091009307225
3,0.0592529822045499,0.061369314509994305,0.08926479637137673
4,0.03741607457140995,0.040123164982125925,0.055121296384182776
5,0.029007235512678444,0.02786092463330313,0.036702732194947706
6,0.02203246202985464,0.020239676759083447,0.02581955669102558
7,0.015448797340460205,0.0152289757019224,0.01893997699015629
8,0.012254742194120332,0.011785757559370011,0.01435884181580759
9,0.010690307020402842,0.0093337067469649,0.011179333645953592
10,0.008474023857636398,0.0075353357579749656,0.008896953392108695
11,0.006388110292679747,0.006183388217633724,0.007212051509199124
12,0.004562935923342676,0.0051454348824008685,0.005938487329769867
13,0.004237011928818199,0.004333965876175962,0.004956193679763582
14,0.0031940551463398737,0.003689460986604879,0.0041851975489114015
15,0.0036503487386741413,0.0031704099107469227,0.0035707364595309854
16,0.003063685548530083,0.0027472195967061922,0.0030743955174623917
17,0.0029985007496251873,0.0023983790734693287,0.002668649517728614
18,0.001564435173717489,0.0021079793084709184,0.002333401530978018
19,0.0014992503748125937,0.0018640704459038406,0.002053729787869202
20,0.001564435173717489,0.0016575501252732718,0.001818386679390167
21,0.0013036959780979075,0.0014813965388465688,0.0016187778081939075
22,0.0009777719835734307,0.0013301300066053462,0.001448254422160678
23,0.0013036959780979075,0.0011994289327593368,0.0013016146336043005
24,0.0009777719835734307,0.0010858518784367921,0.0011747463329847899
25,0.0011081415813832215,0.0009866337375524462,0.001064367899845241
26,0.000521478391239163,0.0008995344175366512,0.000967837463503533
27,0.0008474023857636399,0.0008227252229662258,0.0008830108998537342
28,0.0006518479890489537,0.0007547026501560993,0.0008081349344065575
29,0.00045629359233426766,0.0006942223402297687,0.0007417658419613649
30,0.0007822175868587445,0.0006402480161416172,0.0006827070204897435
31,0.0007170327879538491,0.0005919116687748061,0.0006299606288671737
32,0.0005866631901440584,0.0005484822671050993,0.0005826898070202722
33,0.0005866631901440584,0.0005093409840613511,0.0005401889320077935
34,0.000521478391239163,0.00047396144381435426,0.0005018600288493679
35,0.00045629359233426766,0.00044189386879887703,0.0004671939334014376
36,0.00045629359233426766,0.0004127522773780737,0.0004357551521700889
37,0.00032592399452447687,0.0003862040843197,0.0004071696188409319
38,0.0002607391956195815,0.0003619616061134932,0.0003811147358843388
39,0.00013036959780979076,0.000339775085642328,0.000357311230285158
40,0.00045629359233426766,0.0003194269357958558,0.0003355164582443223
41,0.0002607391956195815,0.0003007269664257452,0.0003155188738580664
42,0.00013036959780979076,0.0002835084087537743,0.00029713343794604574
43,0.00019555439671468613,0.00026762458972377697,0.00028019779018902537
44,0.00013036959780979076,0.00025294613860365545,0.0002645690440682124
45,0.00013036959780979076,0.0002393586314415842,0.0002501210923615328
46,0.0002607391956195815,0.00022676059729017511,0.00023674233306751784
47,0.0002607391956195815,0.00021506182457771392,0.00022433374302884994
48,0.00019555439671468613,0.00020418191749389285,0.00021280724029284985
49,6.518479890489538e-05,0.00019404906142584934,0.00020208428719058858
50,0.00032592399452447687,0.00018459896383219077,0.00019209469486042066
51,0.00013036959780979076,0.00017577394286410653,0.00018277559696058875
52,0.00045629359233426766,0.0001675221408336475,0.0001740705659748156
53,0.0002607391956195815,0.00015979684352061428,0.0001659288500974916
54,0.00019555439671468613,0.00015255588948393878,0.0001583047124113301
55,0.00013036959780979076,0.0001457611561422565,0.00015115685711229957
56,6.518479890489538e-05,0.0001393781115243993,0.00014444793002943527
57,0.00013036959780979076,0.00013337542235200198,0.00013814408273743904
58,,0.00012772461057442472,0.00013221459125232893
59,0.00013036959780979076,0.00012239975168686838,0.00012663152170207427
60,6.518479890489538e-05,0.00011737720917092803,0.00012136943652890975
61,0.00019555439671468613,0.00011263540023968594,0.00011640513575099394
62,0.00019555439671468613,0.00010815458877568573,0.00011171742862299794
63,0.00019555439671468613,0.00010391670194395404,0.00010728693171615596
64,6.518479890489538e-05,9.99051674625077e-05,0.00010309589001105147
65,0.00013036959780979076,9.610476893602684e-05,9.912801807949014e-05
66,6.518479890489538e-05,9.250151701662895e-05,9.536835884035817e-05
67,0.00013036959780979076,8.908253446038083e-05,9.180315772078488e-05
68,6.518479890489538e-05,8.583595340752458e-05,8.84197503484142e-05
69,,8.275082343586038e-05,8.520646215154064e-05
70,0.00013036959780979076,7.981702912629544e-05,8.215251845822696e-05
71,0.00013036959780979076,7.702521604200545e-05,7.924796386905434e-05
72,,7.436672416253185e-05,7.648358983564325e-05
73,6.518479890489538e-05,7.183352793432336e-05,7.38508695125201e-05
74,6.518479890489538e-05,6.941818220327993e-05,7.134189906662287e-05
75,,6.711377338457572e-05,6.894934472953385e-05
76,,6.491387530297955e-05,6.6666394964746e-05
77,,6.281250920454526e-05,6.448671719788694e-05
78,,6.080410749924073e-05,6.240441862351004e-05
79,6.518479890489538e-05,5.8883480845499734e-05,6.041401065922292e-05
80,6.518479890489538e-05,5.70457882322772e-05,5.851037666775939e-05
81,6.518479890489538e-05,5.5286509753445074e-05,5.668874261112275e-05
82,,5.360142180360466e-05,5.494465033900482e-05
83,0.00013036959780979076,5.1986574454393125e-05,5.327393324704933e-05
