# Raw node-level degree data
# Node type: a, n=15,341
# N: 28,004, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-02-18T19:14:37.727545
node_id,in_degree
0,780
2,1299
6,83
8,327
14,159
15,22
16,468
17,220
19,121
21,100
22,60
23,425
28,2
29,157
31,212
34,228
36,64
37,103
40,62
42,55
45,70
46,59
47,216
48,117
51,71
53,13
55,96
56,45
60,36
62,52
67,17
68,126
69,13
70,25
72,117
74,81
75,3
77,10
78,9
79,68
81,40
84,65
85,74
86,26
90,61
93,32
95,124
96,52
98,46
99,31
101,37
102,27
103,95
105,40
107,85
108,31
109,119
110,143
113,15
115,50
118,33
119,83
120,63
121,122
125,93
126,18
129,164
130,67
132,42
134,5
135,32
137,41
141,34
143,10
145,165
147,43
148,46
149,8
150,48
152,50
154,16
156,100
157,30
158,71
160,109
161,24
162,31
163,53
165,15
166,54
168,31
169,46
170,39
172,25
175,70
177,87
178,36
180,7
181,19
182,19
184,37
186,98
187,15
189,102
190,55
191,146
192,50
193,108
195,52
196,52
198,8
200,23
204,3
205,14
206,46
212,80
213,9
214,47
216,67
217,37
218,87
220,30
221,9
224,10
225,9
227,57
231,21
234,91
235,29
236,30
238,51
240,17
241,35
244,24
245,10
246,32
249,30
250,73
251,15
252,29
256,61
257,33
258,25
259,47
260,38
261,63
262,137
263,6
265,118
266,62
267,7
268,44
270,43
273,8
274,14
275,12
279,62
283,14
284,5
285,40
286,23
288,40
290,79
291,17
292,45
293,22
294,25
295,61
296,44
299,9
301,14
302,10
304,48
305,50
306,25
308,14
309,18
310,106
314,24
315,66
317,16
320,48
321,43
322,25
324,4
325,24
326,38
327,31
328,36
331,53
337,53
339,6
341,32
343,20
344,5
345,13
348,36
349,15
351,30
352,85
357,3
359,34
361,53
362,16
365,4
367,19
371,20
374,14
375,7
377,1
380,9
382,26
386,22
389,18
395,24
396,9
398,34
404,7
405,17
409,9
415,30
418,27
420,15
424,54
426,6
427,4
428,31
429,23
430,17
431,5
434,4
435,34
436,93
437,91
438,0
440,6
442,15
447,1
453,65
455,5
456,59
457,0
459,13
460,40
463,21
469,25
471,15
472,25
473,17
474,9
475,30
476,35
478,14
479,63
484,41
486,8
487,16
488,10
489,2
490,3
492,8
493,7
495,36
499,16
501,6
502,8
503,5
504,7
506,17
513,19
515,16
516,6
518,8
519,34
520,17
