# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: b
# A: 7.995208, alpha: 2.083333, gamma: 2.733279
# Generated: 2026-02-18T19:13:43.645054
k,pmf,A,alpha,gamma
0,1.0754074028383813,7.99520824333369,2.0833333333333335,2.7332793959007553
1,0.3682986976406939,7.99520824333369,2.0833333333333335,2.7332793959007553
2,0.1709052970816867,7.99520824333369,2.0833333333333335,2.7332793959007553
3,0.0939135789143139,7.99520824333369,2.0833333333333335,2.7332793959007553
4,0.05748461971398784,7.99520824333369,2.0833333333333335,2.7332793959007553
5,0.03792212351509262,7.99520824333369,2.0833333333333335,2.7332793959007553
6,0.02643208355549581,7.99520824333369,2.0833333333333335,2.7332793959007553
7,0.019216654265781646,7.99520824333369,2.0833333333333335,2.7332793959007553
8,0.014444393307915217,7.99520824333369,2.0833333333333335,2.7332793959007553
9,0.011154592620288927,7.99520824333369,2.0833333333333335,2.7332793959007553
10,0.008808683719036803,7.99520824333369,2.0833333333333335,2.7332793959007553
11,0.007088043410986753,7.99520824333369,2.0833333333333335,2.7332793959007553
12,0.005795578838596966,7.99520824333369,2.0833333333333335,2.7332793959007553
13,0.0048047114712704885,7.99520824333369,2.0833333333333335,2.7332793959007553
14,0.004031502591212544,7.99520824333369,2.0833333333333335,2.7332793959007553
15,0.0034187272000417955,7.99520824333369,2.0833333333333335,2.7332793959007553
16,0.002926418234687723,7.99520824333369,2.0833333333333335,2.7332793959007553
17,0.002526061632452555,7.99520824333369,2.0833333333333335,2.7332793959007553
18,0.002196926568292608,7.99520824333369,2.0833333333333335,2.7332793959007553
19,0.001923684464769987,7.99520824333369,2.0833333333333335,2.7332793959007553
20,0.0016948279820497,7.99520824333369,2.0833333333333335,2.7332793959007553
21,0.00150159915923922,7.99520824333369,2.0833333333333335,2.7332793959007553
22,0.0013372489794084724,7.99520824333369,2.0833333333333335,2.7332793959007553
23,0.0011965171018031582,7.99520824333369,2.0833333333333335,2.7332793959007553
24,0.0010752605807085765,7.99520824333369,2.0833333333333335,2.7332793959007553
25,0.0009701851182592929,7.99520824333369,2.0833333333333335,2.7332793959007553
