# Normalization constant A(k)
# Node type: a
# p0: 0.454141, alpha: 1.923077, gamma: 2.599950
# A_asymptotic: 5.623861
# Generated: 2026-02-18T18:29:28.912453
k,A_k,A_asymptotic
0,5.623860792646541,5.623860792646541
1,5.623860792646542,5.623860792646541
2,5.623860792646539,5.623860792646541
3,5.623860792646544,5.623860792646541
4,5.623860792646534,5.623860792646541
5,5.623860792646536,5.623860792646541
6,5.623860792646534,5.623860792646541
7,5.623860792646535,5.623860792646541
8,5.623860792646534,5.623860792646541
9,5.623860792646535,5.623860792646541
10,5.623860792646534,5.623860792646541
11,5.623860792646535,5.623860792646541
12,5.623860792646536,5.623860792646541
13,5.6238607926465365,5.623860792646541
14,5.623860792646536,5.623860792646541
15,5.6238607926465365,5.623860792646541
16,5.6238607926465365,5.623860792646541
17,5.623860792646537,5.623860792646541
18,5.623860792646536,5.623860792646541
19,5.623860792646537,5.623860792646541
20,5.623860792646539,5.623860792646541
21,5.623860792646537,5.623860792646541
22,5.623860792646536,5.623860792646541
23,5.623860792646537,5.623860792646541
24,5.623860792646535,5.623860792646541
25,5.623860792646537,5.623860792646541
