# Linear-scale discrete degree distribution
# Node type: a, n=53
# N: 104, m: 3
# h: 0.7, f_a: 0.55
# Theories: Diamond, Sterling
# Generated: 2026-02-18T18:29:25.845697
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.4339622641509434,0.4541407574901074,1.0272056399277922
1,0.2830188679245283,0.19308918221206892,0.3458383259417449
2,0.07547169811320754,0.10219296752610268,0.1609290234600768
3,0.03773584905660377,0.06146086231514912,0.08917719566164234
4,0.018867924528301886,0.04022005338002614,0.055137853672643115
5,0.03773584905660377,0.027950922395973996,0.03675349050766451
6,0.018867924528301886,0.020319839803211094,0.02587946227598663
7,,0.015299366975392104,0.018999572563528452
8,0.018867924528301886,0.011847358059668916,0.014414635093748632
9,0.018867924528301886,0.009387685908288692,0.011230246272891858
10,,0.007582800380764542,0.008942901647183872
11,0.018867924528301886,0.0062253076713128,0.007253347402517933
12,,0.005182631532381654,0.005975578116531047
13,,0.004367128184270309,0.004989548227770081
14,,0.0037191627522981676,0.00421525863643948
15,,0.0031971293981110354,0.003597903177411814
16,,0.0027713564276699502,0.0030990193560725965
17,,0.0024202684189050744,0.002691036441668841
18,,0.002127903532289095,0.0023538163994081232
19,,0.0018822685558732098,0.0020724014114511537
20,,0.0016742254115060663,0.001835512740657383
21,,0.0014967227447672997,0.0016345293273711684
22,,0.0013442563231147481,0.0014627796696046358
23,,0.0012124840524014148,0.0013150424919706847
24,,0.0010979472991155949,0.0011871891558712197
25,,0.0009978664662087873,0.0010759239286341727
26,0.018867924528301886,0.0009099891927119439,0.0009785928654521357
27,,0.0008324763502370964,0.0008930414857526778
28,,0.0007638155248124183,0.0008175076071666901
29,,0.0007027547162002177,0.0007505398201375742
30,,0.0006482510681332474,0.0006909348738590712
31,,0.0005994308851525057,0.0006376891570752155
32,,0.0005555582036160124,0.0005899607870742136
33,,0.0005160099026572255,0.0005470397559856922
34,,0.0004802558561943323,0.0005083242495242187
35,,0.0004478430006165588,0.0004733017324419189
36,,0.00041838246612234273,0.00044153374307733694
37,,0.00039153912152941716,0.00041264359472185344
38,,0.00036702303269589375,0.000386306370468852
39,,0.00034458244753958234,0.0003622407392016115
40,,0.00032399800600654887,0.00034020222641964606
41,0.018867924528301886,0.0003050779383811613,0.00031997765396211687
