# Linear-scale discrete degree distribution
# Node type: b, n=51
# N: 104, m: 3
# h: 0.7, f_a: 0.55
# Theories: Diamond, Sterling
# Generated: 2026-02-18T18:29:25.857218
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.4117647058823529,0.4541407574901074,1.0754074028383813
1,0.17647058823529413,0.19642986291215447,0.3682986976406939
2,0.058823529411764705,0.10412567798009387,0.1709052970816867
3,0.09803921568627451,0.062374065924062395,0.0939135789143139
4,0.0392156862745098,0.040563371812125736,0.05748461971398784
5,0.0392156862745098,0.027988130979019945,0.03792212351509262
6,,0.02019528187263623,0.02643208355549581
7,0.0392156862745098,0.015092080970592534,0.019216654265781646
8,0.0392156862745098,0.011601158918443641,0.014444393307915217
9,0.0392156862745098,0.00912708801451246,0.011154592620288927
10,,0.0073215165547395955,0.008808683719036803
11,,0.005970887317712182,0.007088043410986753
12,0.0196078431372549,0.0049390542975748936,0.005795578838596966
13,,0.004136287678389551,0.0048047114712704885
14,,0.0035017321622161494,0.004031502591212544
15,,0.0029930745995253756,0.0034187272000417955
16,,0.0025802437466920913,0.002926418234687723
17,,0.0022414505356654524,0.002526061632452555
18,,0.001960631939208651,0.002196926568292608
19,,0.0017257611919168018,0.001923684464769987
20,,0.0015277066842612535,0.0016948279820497
21,,0.0013594464446938992,0.00150159915923922
22,,0.001215517920991612,0.0013372489794084724
23,,0.0010916264316995052,0.0011965171018031582
24,,0.0009843624717476458,0.0010752605807085765
25,,0.0008909948824543956,0.0009701851182592929
26,,0.0008093176652540042,0.0008786479813940385
27,,0.0007375352367757833,0.0007985117245264161
28,,0.0006741755735839253,0.0007280344064767841
29,0.0196078431372549,0.0006180238244774467,0.0006657863422153473
30,,0.0005680711045186119,0.0006105863669905284
31,0.0196078431372549,0.0005234746626572953,0.0005614526005331361
