# Raw node-level degree data
# Node type: b, n=51
# N: 104, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-02-18T18:29:24.247942
node_id,in_degree
1,31
3,29
4,9
5,12
7,4
9,7
10,5
11,5
12,8
13,8
18,9
20,7
24,3
25,0
26,0
27,1
30,3
32,4
33,1
35,3
38,1
39,0
41,1
43,2
44,2
49,1
50,1
52,0
54,0
57,0
58,1
59,3
61,0
63,3
64,2
65,0
66,1
71,0
73,0
76,0
80,0
82,0
83,0
87,0
88,1
89,0
91,0
92,0
94,0
97,0
100,0
