# frac_edges grid for p_c=0.4
# Generated: 2026-02-15T15:27:47.651930
# Valid region: n0 > m
m,n0,frac_edges,valid
1,10,0.0,True
6,10,0.8659420289855072,True
11,10,,False
16,10,,False
21,10,,False
1,30,1.0,True
6,30,0.7302816901408451,True
11,30,0.7805298298513892,True
16,30,0.7244942512006985,True
21,30,0.5520061055385957,True
1,50,0.0,True
6,50,0.5630478759271746,True
11,50,0.6217173822426011,True
16,50,0.5450733752620545,True
21,50,0.5791170634920635,True
1,70,1.0,True
6,70,0.6276417309627642,True
11,70,0.4752163650668765,True
16,70,0.5075398535114175,True
21,70,0.434746954076851,True
1,90,0.0,True
6,90,0.5321241930525669,True
11,90,0.5149109217660728,True
16,90,0.45560253699788583,True
21,90,0.4025515434559745,True
