# In-degree distribution (discrete linear)
# Node type: b
# N: 530, m: 3
# h: 0.2, f_a: 0.2
# Generated: 2026-02-15T17:29:45.324506
k,empirical_prob,theory_prob
0,0.2857142857142857,0.2583557649170032
1,0.16359447004608296,0.18292546422752304
2,0.1175115207373272,0.13183322632401703
3,0.08755760368663594,0.09654127904376877
4,0.08525345622119816,0.0717280008625754
5,0.07373271889400922,0.05399950739339619
6,0.03686635944700461,0.04114591628982986
7,0.016129032258064516,0.031700825204542336
8,0.016129032258064516,0.0246742075218649
9,0.027649769585253458,0.019386960441370917
10,0.013824884792626729,0.015366392671711386
11,0.01152073732718894,0.012279005933769562
12,0.009216589861751152,0.009886537126274556
13,0.01152073732718894,0.008016765404059132
14,0.009216589861751152,0.006543845195765221
15,0.002304147465437788,0.005374878824218252
16,0.009216589861751152,0.004440634211413192
17,0.002304147465437788,0.0036890527916929932
18,0.002304147465437788,0.0030806589605183237
19,0.002304147465437788,0.002585280540790201
20,0.0,0.0021796830465109873
21,0.002304147465437788,0.0018458474572393348
22,0.002304147465437788,0.001569705582724662
23,0.002304147465437788,0.0013402038125839915
24,0.002304147465437788,0.0011486045856339382
25,0.002304147465437788,0.0009879613704283751
26,0.002304147465437788,0.0008527212870541842
27,0.0,0.0007384223285531968
28,0.0,0.0006414611926714455
29,0.0,0.0005589141756597494
30,0.0,0.0004883981992220529
31,0.0,0.00042796237972329967
32,0.002304147465437788,0.00037600297830595356
