# In-degree distribution (discrete linear)
# Node type: a
# N: 530, m: 3
# h: 0.2, f_a: 0.2
# Generated: 2026-02-15T17:31:16.482269
k,empirical_prob,theory_prob
0,0.6909090909090909,0.6366558602120996
1,0.15454545454545454,0.18549434362109263
2,0.07272727272727272,0.07578172489286253
3,0.00909090909090909,0.0373199017882061
4,0.0,0.020732476599323448
5,0.00909090909090909,0.012536111638667656
6,0.00909090909090909,0.008073358008921054
7,0.00909090909090909,0.005459465229779302
8,0.0,0.0038385872823435817
9,0.00909090909090909,0.0027862840605950507
10,0.0,0.002076832370604705
11,0.00909090909090909,0.0015831662727124984
12,0.0,0.001230295959866414
13,0.0,0.0009721622813973086
14,0.0,0.0007794908584556833
15,0.0,0.0006331153325843046
16,0.0,0.0005201571007309896
17,0.0,0.00043176180435837056
18,0.00909090909090909,0.0003617163607304685
19,0.00909090909090909,0.00030558064819214185
20,0.0,0.0002601288862700469
21,0.0,0.00022298229976982137
22,0.0,0.00019236273788394122
23,0.0,0.00016692442123485035
24,0.0,0.0001456371400492652
25,0.0,0.00012770394026660934
26,0.0,0.00011250230549066808
27,0.0,9.95415873246607e-05
28,0.0,8.843182855169842e-05
29,0.0,7.886067763329881e-05
30,0.0,7.05761186148111e-05
31,0.00909090909090909,6.337342736323235e-05
