# In-degree distribution (log-binned)
# Node type: b
# N: 530, m: 3
# h: 0.2, f_a: 0.2
# Generated: 2026-02-15T17:31:15.670757
k,theory_prob,empirical_prob
0.0,0.25950189253958655,
1.0,0.1834658681084161,
2.0,0.13203604756964699,
3.0,0.09655898143197057,
4.0,0.07164795318894954,
5.0,0.053871855874647524,
6.0,0.04099925834875416,
7.0,0.03155117746340403,
8.0,0.024530211693842438,
9.0,0.019252940632110756,
10.0,0.015244166467308331,
11.0,0.012168963066229273,
12.0,0.009788282944372041,
13.0,0.00792950351832516,
14.0,0.006466602841634439,
15.0,0.005306637068584701,
16.0,0.004380400594063605,
17.0,0.003635899296136791,
18.0,0.0030337393180700214,
19.0,0.002543835448956877,
20.0,0.0021430385530591244,
21.0,0.0018134097067517374,
22.0,0.0015409538509303846,
23.0,0.001314682966285862,
24.0,0.0011259176194400853,
25.0,0.0009677623725346455,
0.0,,0.2523809523809524
1.0,,0.1595238095238095
2.0,,0.14047619047619048
3.0,,0.11904761904761904
4.0,,0.06666666666666667
5.0,,0.04523809523809524
6.0,,0.05476190476190476
7.0,,0.030952380952380953
8.0,,0.023809523809523808
9.0,,0.009523809523809525
10.0,,0.014285714285714285
11.0,,0.014285714285714285
12.0,,0.02142857142857143
13.0,,0.014285714285714285
14.0,,0.002380952380952381
15.0,,0.007142857142857143
16.0,,0.011904761904761904
17.0,,0.002380952380952381
20.0,,0.002380952380952381
24.49489742783178,,0.007142857142857143
