# Network edge list with node attributes
# N: 530, m: 3
# h: 0.2, f_a: 0.2
# Initial network nodes: 0 to 29
# Added nodes: 30 to 529
# Total edges: 1528
# Type a nodes: 110
# Type b nodes: 420
# Generated: 2026-02-15T17:31:14.159370
source,target,source_type,target_type,source_in_degree,target_in_degree,source_is_initial,target_is_initial,source_order,target_order
29,3,b,b,16,25,True,True,29,3
29,0,b,a,16,18,True,True,29,0
29,20,b,b,16,12,True,True,29,20
29,7,b,b,16,24,True,True,29,7
29,2,b,b,16,16,True,True,29,2
29,15,b,b,16,12,True,True,29,15
29,4,b,b,16,12,True,True,29,4
29,16,b,b,16,12,True,True,29,16
29,27,b,b,16,12,True,True,29,27
29,25,b,a,16,9,True,True,29,25
29,17,b,a,16,19,True,True,29,17
29,21,b,b,16,10,True,True,29,21
29,6,b,b,16,20,True,True,29,6
29,13,b,b,16,15,True,True,29,13
29,26,b,a,16,31,True,True,29,26
29,19,b,a,16,3,True,True,29,19
29,18,b,b,16,15,True,True,29,18
29,14,b,b,16,24,True,True,29,14
29,1,b,a,16,5,True,True,29,1
29,24,b,a,16,11,True,True,29,24
29,23,b,b,16,11,True,True,29,23
29,28,b,b,16,12,True,True,29,28
29,5,b,b,16,11,True,True,29,5
29,10,b,b,16,15,True,True,29,10
29,9,b,b,16,13,True,True,29,9
29,8,b,b,16,16,True,True,29,8
29,11,b,b,16,16,True,True,29,11
29,12,b,b,16,11,True,True,29,12
30,4,b,b,14,12,False,True,30,4
30,19,b,a,14,3,False,True,30,19
30,2,b,b,14,16,False,True,30,2
31,10,b,b,9,15,False,True,31,10
31,8,b,b,9,16,False,True,31,8
31,3,b,b,9,25,False,True,31,3
32,26,b,a,13,31,False,True,32,26
32,29,b,b,13,16,False,True,32,29
32,15,b,b,13,12,False,True,32,15
33,3,a,b,1,25,False,True,33,3
33,15,a,b,1,12,False,True,33,15
33,9,a,b,1,13,False,True,33,9
34,26,a,a,7,31,False,True,34,26
34,21,a,b,7,10,False,True,34,21
34,3,a,b,7,25,False,True,34,3
35,0,b,a,16,18,False,True,35,0
35,31,b,b,16,9,False,False,35,31
35,9,b,b,16,13,False,True,35,9
36,33,b,a,12,1,False,False,36,33
36,30,b,b,12,14,False,False,36,30
36,26,b,a,12,31,False,True,36,26
37,15,b,b,6,12,False,True,37,15
37,23,b,b,6,11,False,True,37,23
37,24,b,a,6,11,False,True,37,24
38,13,b,b,8,15,False,True,38,13
38,4,b,b,8,12,False,True,38,4
38,30,b,b,8,14,False,False,38,30
39,32,b,b,13,13,False,False,39,32
39,30,b,b,13,14,False,False,39,30
39,10,b,b,13,15,False,True,39,10
40,10,b,b,5,15,False,True,40,10
