# frac_nodes grid for p_c=0.2
# Valid region: n0 > m
# Generated: 2026-02-17T14:55:08.209908
m,n0,frac_nodes,valid
1,10,1.0,True
3,10,0.0,True
5,10,0.5877576514678327,True
7,10,0.0,True
9,10,0.0,True
11,10,,False
13,10,,False
15,10,,False
17,10,,False
19,10,,False
21,10,,False
23,10,,False
25,10,,False
27,10,,False
29,10,,False
31,10,,False
33,10,,False
1,20,0.9778051787916153,True
3,20,0.9820655534941249,True
5,20,0.6107298814722395,True
7,20,0.5900123304562269,True
9,20,0.5557609365372767,True
11,20,0.5130382049727107,True
13,20,0.0,True
15,20,0.4920049200492005,True
17,20,0.49688667496886674,True
19,20,0.0,True
21,20,,False
23,20,,False
25,20,,False
27,20,,False
29,20,,False
31,20,,False
33,20,,False
1,30,0.9654959950708565,True
3,30,0.9736680955296999,True
5,30,0.0,True
7,30,0.5482695810564663,True
9,30,0.0,True
11,30,0.5432632880098888,True
13,30,0.5100125156445557,True
15,30,0.5043050430504306,True
17,30,0.4862721171446004,True
19,30,0.46844059405940597,True
21,30,0.471278567016677,True
23,30,0.0,True
25,30,0.4601449275362319,True
27,30,0.4683622828784119,True
29,30,0.44814814814814813,True
31,30,,False
33,30,,False
1,40,0.9827373612823674,True
3,40,0.9848484848484849,True
5,40,0.9829372333942717,True
7,40,0.5764777574649604,True
9,40,0.9813477737665464,True
11,40,0.5228798047589994,True
13,40,0.5248447204968945,True
15,40,0.5194324491054905,True
17,40,0.5147420147420148,True
19,40,0.49480757483200977,True
21,40,0.48412698412698413,True
23,40,0.46736453201970446,True
25,40,0.453551912568306,True
27,40,0.4582822085889571,True
29,40,0.45098039215686275,True
31,40,0.45015290519877676,True
33,40,0.4494175352544451,True
1,50,0.0,True
3,50,0.0,True
5,50,0.9770253929866989,True
7,50,0.9767164179104477,True
9,50,0.0,True
11,50,0.9731870810481413,True
13,50,0.0,True
15,50,0.49427365883062085,True
17,50,0.4889975550122249,True
19,50,0.4926289926289926,True
21,50,0.0,True
23,50,0.48161764705882354,True
25,50,0.4713846153846154,True
27,50,0.0,True
29,50,0.446256038647343,True
31,50,0.42365721182860594,True
33,50,0.4659367396593674,True
1,60,0.9878419452887538,True
3,60,0.9862275449101796,True
5,60,0.6135265700483091,True
7,60,0.971445929526124,True
9,60,0.5631419939577039,True
11,60,0.9686558167570826,True
13,60,0.0,True
15,60,0.5206060606060606,True
17,60,0.49459783913565425,True
19,60,0.0,True
21,60,0.9679758308157099,True
23,60,0.46224116930572473,True
25,60,0.4676737160120846,True
27,60,0.48324192565508833,True
29,60,0.4351795496043822,True
31,60,0.46494907130017976,True
33,60,0.4340193704600484,True
1,70,0.9611992945326279,True
3,70,0.9655380894800484,True
5,70,0.6200846944948578,True
7,70,0.9679370840895342,True
9,70,0.5590881823635273,True
11,70,0.5348977135980746,True
13,70,0.9673123486682809,True
15,70,0.9644364074743822,True
17,70,0.9643934821967411,True
19,70,0.9626280892103677,True
21,70,0.0,True
23,70,0.9617718446601942,True
25,70,0.4921402660217654,True
27,70,0.45958986731001206,True
29,70,0.45510079413561394,True
31,70,0.4361127774445111,True
33,70,0.4414086217364906,True
1,80,0.9258142340168878,True
3,80,0.0,True
5,80,0.0,True
7,80,0.964221824686941,True
