# Power law PMF: p(k) ~ (k + k0)^(-alpha) / norm
# Node type: a
# alpha: 2.000000, k0: 0.000000, norm: 1.641917
# Generated: 2026-02-17T14:43:27.681033
k,pmf,alpha,k0,norm
1,0.6090440070647251,2.0,0.0,1.6419174778838712
2,0.15226100176618126,2.0,0.0,1.6419174778838712
3,0.067671556340525,2.0,0.0,1.6419174778838712
4,0.038065250441545316,2.0,0.0,1.6419174778838712
5,0.024361760282589004,2.0,0.0,1.6419174778838712
6,0.01691788908513125,2.0,0.0,1.6419174778838712
7,0.012429469531933163,2.0,0.0,1.6419174778838712
8,0.009516312610386329,2.0,0.0,1.6419174778838712
9,0.007519061815613889,2.0,0.0,1.6419174778838712
10,0.006090440070647251,2.0,0.0,1.6419174778838712
11,0.0050334215459894634,2.0,0.0,1.6419174778838712
12,0.004229472271282813,2.0,0.0,1.6419174778838712
13,0.0036038106926906807,2.0,0.0,1.6419174778838712
14,0.0031073673829832907,2.0,0.0,1.6419174778838712
15,0.002706862253621,2.0,0.0,1.6419174778838712
16,0.0023790781525965823,2.0,0.0,1.6419174778838712
17,0.002107418709566523,2.0,0.0,1.6419174778838712
18,0.0018797654539034724,2.0,0.0,1.6419174778838712
19,0.0016871025126446678,2.0,0.0,1.6419174778838712
20,0.0015226100176618127,2.0,0.0,1.6419174778838712
21,0.001381052170214796,2.0,0.0,1.6419174778838712
22,0.0012583553864973659,2.0,0.0,1.6419174778838712
23,0.0011513119226176278,2.0,0.0,1.6419174778838712
24,0.0010573680678207032,2.0,0.0,1.6419174778838712
25,0.0009744704113035602,2.0,0.0,1.6419174778838712
