# Power law PMF: p(k) ~ (k + k0)^(-alpha) / norm
# Node type: b
# alpha: 2.000000, k0: 0.000000, norm: 1.630546
# Generated: 2026-02-17T14:43:27.683763
k,pmf,alpha,k0,norm
1,0.6132915641755633,2.0,0.0,1.6305458258573666
2,0.15332289104389082,2.0,0.0,1.6305458258573666
3,0.06814350713061813,2.0,0.0,1.6305458258573666
4,0.038330722760972706,2.0,0.0,1.6305458258573666
5,0.024531662567022532,2.0,0.0,1.6305458258573666
6,0.017035876782654533,2.0,0.0,1.6305458258573666
7,0.012516154370929861,2.0,0.0,1.6305458258573666
8,0.009582680690243177,2.0,0.0,1.6305458258573666
9,0.007571500792290904,2.0,0.0,1.6305458258573666
10,0.006132915641755633,2.0,0.0,1.6305458258573666
11,0.005068525323764986,2.0,0.0,1.6305458258573666
12,0.004258969195663633,2.0,0.0,1.6305458258573666
13,0.003628944166719309,2.0,0.0,1.6305458258573666
14,0.0031290385927324653,2.0,0.0,1.6305458258573666
15,0.0027257402852247257,2.0,0.0,1.6305458258573666
16,0.002395670172560794,2.0,0.0,1.6305458258573666
17,0.00212211613901579,2.0,0.0,1.6305458258573666
18,0.001892875198072726,2.0,0.0,1.6305458258573666
19,0.001698868598824275,2.0,0.0,1.6305458258573666
20,0.0015332289104389083,2.0,0.0,1.6305458258573666
21,0.001390683818992207,2.0,0.0,1.6305458258573666
22,0.0012671313309412465,2.0,0.0,1.6305458258573666
23,0.0011593413311447322,2.0,0.0,1.6305458258573666
24,0.0010647422989159083,2.0,0.0,1.6305458258573666
25,0.0009812665026809012,2.0,0.0,1.6305458258573666
