# Raw node-level degree data
# Node type: a, n=24,997
# N: 50,003, m: 2
# h: 0.4, f_a: 0.5
# Generated: 2026-02-17T22:55:08.465373
node_id,in_degree
2,511
3,107
4,404
5,259
6,136
8,71
9,211
10,12
11,133
14,261
17,8
18,55
19,217
20,170
23,92
24,45
28,52
29,95
30,28
33,103
37,67
39,145
40,18
41,237
42,95
46,52
50,28
51,62
54,70
56,25
58,0
60,64
62,93
63,59
64,16
65,81
67,29
68,22
69,24
70,37
72,13
73,12
74,47
77,201
80,3
81,38
82,13
83,38
84,70
89,15
90,69
91,62
93,33
100,21
104,7
105,23
106,38
107,25
111,75
113,24
116,75
118,73
119,37
121,27
124,32
127,45
128,28
130,15
133,31
134,5
137,35
138,10
141,54
144,37
150,44
152,25
154,24
155,16
157,0
158,16
159,4
162,64
163,44
164,25
165,75
166,2
170,19
171,22
172,58
175,46
177,20
178,29
180,14
181,25
182,56
184,14
185,23
186,37
187,36
188,25
189,12
190,24
193,2
195,19
200,10
204,46
207,40
208,49
212,19
213,5
214,20
215,32
216,14
222,36
223,42
224,19
225,42
227,29
229,8
232,19
234,62
236,10
237,44
238,16
240,15
241,19
244,7
247,76
248,20
249,26
256,13
259,11
261,54
268,10
269,30
274,45
275,66
280,17
281,18
282,32
284,40
285,53
286,18
288,41
289,3
291,55
292,22
294,19
299,8
300,19
301,25
302,21
303,2
305,26
306,36
307,0
309,3
311,3
313,14
314,25
315,26
319,7
320,9
321,34
322,49
324,23
326,16
327,33
328,63
329,4
331,8
334,14
335,27
337,13
338,27
342,33
343,9
345,7
346,21
350,68
352,19
353,9
355,3
356,38
360,20
361,81
363,2
365,39
366,27
367,19
370,23
373,5
376,8
377,10
378,15
381,28
382,17
383,5
388,8
390,3
391,10
394,16
395,15
397,15
398,24
400,13
401,19
403,32
405,9
410,23
412,30
413,8
414,8
416,11
418,4
420,5
421,0
422,7
423,25
424,21
426,11
428,3
429,37
430,45
431,19
432,21
433,9
434,59
435,24
436,3
441,13
447,5
448,26
449,9
450,21
455,22
462,24
464,14
467,6
468,23
470,22
471,17
472,14
474,9
476,16
477,7
478,32
479,42
480,7
484,93
485,16
486,1
487,21
489,12
490,7
491,19
492,3
493,11
495,29
499,11
500,26
503,31
504,56
507,4
508,20
510,17
514,3
516,14
519,14
520,17
522,16
523,22
524,5
525,5
526,16
527,13
529,12
530,24
532,9
533,21
538,7
539,7
542,29
543,0
545,13
547,22
550,12
551,15
552,20
557,19
559,7
561,6
564,11
566,21
568,19
569,7
574,8
577,6
582,1
583,20
585,16
587,17
588,26
589,34
590,25
591,11
594,1
596,10
600,9
604,14
606,9
609,15
611,2
613,20
614,13
615,22
618,5
619,14
623,17
625,10
627,4
628,40
635,21
640,21
641,5
643,2
645,11
646,16
647,30
653,14
654,4
656,6
657,30
658,22
659,29
662,40
663,19
664,11
667,21
669,7
671,18
672,25
674,11
675,15
676,14
