# Raw node-level degree data
# Node type: b, n=14,005
# N: 28,010, m: 2
# h: 0.4, f_a: 0.5
# Generated: 2026-02-17T23:00:27.237537
node_id,in_degree
1,97
3,202
5,110
6,298
7,223
10,79
14,113
15,27
16,15
17,34
22,223
23,53
25,100
27,46
28,173
29,67
30,14
31,59
32,75
33,103
35,27
36,55
39,10
40,26
41,64
46,20
47,6
50,56
54,14
55,2
59,22
60,94
61,81
67,11
68,15
69,10
72,12
73,90
74,51
77,25
78,19
79,33
91,22
92,25
94,30
96,28
97,39
98,21
100,15
102,32
103,55
105,30
107,16
108,33
109,42
111,26
112,30
113,20
114,13
121,11
125,6
128,20
129,30
130,49
132,19
135,58
137,33
141,21
147,2
148,32
150,30
151,47
152,22
154,61
156,10
157,41
159,18
162,2
163,1
166,45
167,2
168,17
169,27
171,23
175,16
178,27
179,8
180,41
181,3
185,7
186,27
189,42
191,12
197,18
198,39
202,21
203,31
204,3
205,35
206,29
210,28
213,17
214,39
215,5
218,43
220,1
223,26
224,4
226,6
228,12
230,3
235,17
239,21
243,5
246,19
250,7
251,20
252,52
254,25
256,12
257,11
258,22
261,32
262,7
263,34
264,15
266,23
268,11
270,10
271,35
272,11
273,11
274,1
276,26
277,13
278,1
279,5
280,23
281,13
284,16
286,2
287,23
289,47
290,34
291,17
292,19
294,35
295,3
297,10
298,15
299,9
302,26
303,9
304,31
306,2
307,22
308,30
309,10
310,20
314,26
315,10
316,28
317,9
319,17
324,6
325,18
326,17
329,27
330,4
332,9
337,7
341,20
343,16
346,23
348,5
349,18
350,8
351,25
352,50
354,14
355,16
356,15
357,7
358,1
359,5
361,26
363,25
364,8
367,67
368,19
371,46
372,8
373,10
378,71
379,3
380,34
382,29
383,11
384,5
386,7
394,26
395,11
397,12
402,5
404,20
405,32
406,19
408,44
410,3
414,3
415,3
417,36
424,8
426,8
428,12
430,17
432,5
433,32
439,22
440,19
441,24
442,35
446,10
447,1
449,17
450,24
453,8
455,5
456,18
457,7
460,7
462,11
464,10
467,29
469,32
470,6
471,1
472,5
476,2
477,10
478,20
479,1
480,8
481,3
487,30
490,12
492,21
495,11
496,1
499,13
500,13
503,25
504,21
505,21
506,10
507,14
508,5
509,8
510,9
512,18
513,3
514,29
515,15
516,7
517,13
520,5
521,32
522,1
523,7
524,19
526,15
527,6
528,10
531,8
532,4
536,19
538,51
539,18
543,10
544,5
546,1
548,16
549,12
550,13
551,18
554,11
555,24
556,14
559,7
564,22
565,8
566,4
569,12
570,7
572,6
575,16
579,12
580,19
581,16
582,3
583,23
587,23
588,19
592,4
593,1
594,9
595,23
596,0
598,8
600,8
601,4
606,6
607,11
613,9
616,0
617,6
618,6
619,19
622,41
625,7
626,4
630,0
633,9
635,9
636,0
638,8
640,8
641,15
642,10
643,14
645,15
650,14
653,16
654,6
656,19
657,8
659,12
660,6
663,9
665,14
667,18
670,10
672,9
673,1
675,2
676,31
677,16
681,26
682,41
683,15
685,27
686,5
687,21
688,22
689,2
690,6
692,6
694,18
696,10
697,13
699,11
701,5
702,13
706,12
709,5
710,3
712,17
713,1
715,2
717,5
718,11
720,11
721,10
722,2
724,21
725,11
726,8
728,1
731,9
736,10
739,2
741,1
742,12
743,2
746,16
747,10
748,7
755,7
758,9
759,52
760,21
761,4
762,28
763,30
764,3
765,7
766,17
767,10
770,14
774,14
777,5
779,29
781,19
782,19
784,3
785,2
791,7
793,5
794,7
798,4
800,12
801,3
802,19
803,7
804,3
805,7
806,5
808,5
810,17
811,2
814,7
816,2
819,0
821,4
824,3
825,4
826,5
827,8
828,1
830,17
832,18
835,1
838,9
840,31
841,9
842,16
843,10
844,14
845,4
847,5
849,10
850,9
851,6
852,7
854,8
855,19
856,5
857,5
859,2
860,1
861,11
862,10
864,14
865,30
866,16
872,10
876,17
877,4
879,14
881,10
883,17
886,17
887,5
888,7
892,6
893,0
896,26
898,3
903,4
904,5
906,16
907,19
908,16
910,10
911,2
914,26
916,5
917,16
919,4
