# Normalization constant A(k)
# Node type: a
# p0: 0.308499, alpha: 9.259259, gamma: 5.130838
# A_asymptotic: 75629.933021
# Generated: 2026-02-17T23:32:55.142334
k,A_k,A_asymptotic
0,75629.9330212085,75629.9330212085
1,75629.9330212085,75629.9330212085
2,75629.93302120846,75629.9330212085
3,75629.93302120848,75629.9330212085
4,75629.9330212085,75629.9330212085
5,75629.9330212085,75629.9330212085
6,75629.93302120848,75629.9330212085
7,75629.93302120848,75629.9330212085
8,75629.9330212085,75629.9330212085
9,75629.9330212085,75629.9330212085
10,75629.93302120853,75629.9330212085
11,75629.93302120853,75629.9330212085
12,75629.9330212085,75629.9330212085
13,75629.9330212085,75629.9330212085
14,75629.9330212085,75629.9330212085
15,75629.93302120846,75629.9330212085
16,75629.93302120849,75629.9330212085
17,75629.93302120848,75629.9330212085
18,75629.93302120846,75629.9330212085
19,75629.93302120802,75629.9330212085
20,75629.93302120783,75629.9330212085
21,75629.93302120859,75629.9330212085
22,75629.93302120891,75629.9330212085
23,75629.93302120808,75629.9330212085
24,75629.9330212083,75629.9330212085
25,75629.93302120983,75629.9330212085
