# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: b
# A: 3356.121360, alpha: 2.173913, gamma: 5.849245
# Generated: 2026-02-17T23:32:55.172569
k,pmf,A,alpha,gamma
0,35.745843347110984,3356.121359877102,2.173913043478261,5.8492451252910005
1,3.9073778229293112,3356.121359877102,2.173913043478261,5.8492451252910005
2,0.7872763708156156,3356.121359877102,2.173913043478261,5.8492451252910005
3,0.22414787059194294,3356.121359877102,2.173913043478261,5.8492451252910005
4,0.07973618576545353,3356.121359877102,2.173913043478261,5.8492451252910005
5,0.03313678824888723,3356.121359877102,2.173913043478261,5.8492451252910005
6,0.015445815742348872,3356.121359877102,2.173913043478261,5.8492451252910005
7,0.007863569729468466,3356.121359877102,2.173913043478261,5.8492451252910005
8,0.004293319993825824,3356.121359877102,2.173913043478261,5.8492451252910005
9,0.0024810070007128893,3356.121359877102,2.173913043478261,5.8492451252910005
10,0.0015027625999547876,3356.121359877102,2.173913043478261,5.8492451252910005
11,0.0009470030226709898,3356.121359877102,2.173913043478261,5.8492451252910005
12,0.000617293590571596,3356.121359877102,2.173913043478261,5.8492451252910005
13,0.0004142937012818501,3356.121359877102,2.173913043478261,5.8492451252910005
14,0.00028522120030231575,3356.121359877102,2.173913043478261,5.8492451252910005
15,0.0002008096872319114,3356.121359877102,2.173913043478261,5.8492451252910005
16,0.0001442165078115113,3356.121359877102,2.173913043478261,5.8492451252910005
17,0.00010542607426957942,3356.121359877102,2.173913043478261,5.8492451252910005
18,7.83069419867511e-05,3356.121359877102,2.173913043478261,5.8492451252910005
19,5.900677624413772e-05,3356.121359877102,2.173913043478261,5.8492451252910005
20,4.5048041013426555e-05,3356.121359877102,2.173913043478261,5.8492451252910005
21,3.4803404432762364e-05,3356.121359877102,2.173913043478261,5.8492451252910005
22,2.7183302649410616e-05,3356.121359877102,2.173913043478261,5.8492451252910005
23,2.1445364985127755e-05,3356.121359877102,2.173913043478261,5.8492451252910005
24,1.7075614315310953e-05,3356.121359877102,2.173913043478261,5.8492451252910005
25,1.3712921860640113e-05,3356.121359877102,2.173913043478261,5.8492451252910005
