# Linear-scale discrete degree distribution
# Node type: a, n=15412
# N: 28003, m: 2
# h: 0.7, f_a: 0.55
# Theories: Diamond, Sterling
# Generated: 2026-02-17T23:35:34.446904
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.4975992732935375,0.5008048945751812,1.4646751950409342
1,0.1977679730080457,0.19847811444657157,0.4296064882295616
2,0.09804048793148196,0.09913389802238882,0.18144640348759705
3,0.06053724370620296,0.05675565395052794,0.09330239954765575
4,0.037568128730859074,0.0355832662455059,0.05428005313032079
5,0.022709576953023617,0.023808626674571502,0.034369754155820297
6,0.01641577991175707,0.016729903505058923,0.02314921090815764
7,0.01161432649883208,0.012214151527931037,0.01634272982420349
8,0.008824292758889176,0.009195456146604362,0.011972695763385745
9,0.006877757591487153,0.007099649548376723,0.009037431917223202
10,0.006228912535686478,0.0055983272388681424,0.006992065112915715
11,0.004412146379444588,0.004494188621578994,0.005522635546005153
12,0.004931222424085129,0.0036637297151905666,0.0044394351114914465
13,0.003893070334804049,0.003026899781265577,0.003623169109785514
14,0.0025304957176226317,0.002530235223840952,0.0029962282048167053
15,0.0019465351674020244,0.002137087350948531,0.0025066207658297423
16,0.0012328056060212822,0.001821753290106705,0.0021186159189058467
17,0.0015572281339216196,0.0015658386711260553,0.0018071001861443767
18,0.0010381520892810796,0.0013559401346382742,0.0015540676637681144
19,0.0016869971450817545,0.0011821319605859798,0.0013463770236299653
20,0.0013625746171814172,0.001036955789336572,0.0011742829946934851
21,0.0010381520892810796,0.0009147326777397348,0.001030453826155864
22,0.0005190760446405398,0.0008110861571991299,0.0009093009219661648
23,0.0007137295613807423,0.0007226061287502081,0.0008065132834440562
24,0.0006488450558006748,0.0006466084437441359,0.0007187289253713567
25,0.0005190760446405398,0.0005809605571857077,0.0006432995162068845
26,0.0005190760446405398,0.0005239534904229857,0.0005781194920890326
27,0.0002595380223202699,0.00047420670035149096,0.0005215004230336387
28,0.00045419153906047237,0.00043059663033854747,0.0004720775751383471
29,0.0003244225279003374,0.0003922025061702702,0.00042873966970778345
30,0.0002595380223202699,0.00035826482827993743,0.0003905755519433856
31,0.0003893070334804049,0.00032815330743211045,0.0003568333207518722
32,0.00045419153906047237,0.0003013418919042793,0.0003268887351436392
33,0.00019465351674020245,0.0002773891679051764,0.00030022059237504124
34,0.00012976901116013495,0.00025592286569646835,0.00027639139246785966
35,0.0002595380223202699,0.0002366275278205701,0.0002550320448008778
36,0.00019465351674020245,0.00021923463093647996,0.0002358296897547756
37,0.00012976901116013495,0.00020351462496761232,0.00021851793886301296
38,0.0003244225279003374,0.00018927048049961737,0.00020286900586975672
39,0.00012976901116013495,0.00017633243014944253,0.00018868732601817013
40,0.00019465351674020245,0.00016455366078744406,0.00017580435401829488
41,,0.00015380676731536,0.00016407430110515728
42,,0.0001439808196947543,0.00015337062454342683
43,6.488450558006747e-05,0.0001349789263507165,0.000143583123283419
44,0.00045419153906047237,0.0001267162013268334,0.00013461552442600114
45,0.00012976901116013495,0.00011911806139344462,0.0001263834690491515
46,0.00012976901116013495,0.00011211879400975202,0.00011881282450697249
47,6.488450558006747e-05,0.00010566034857993652,0.0001118382648078844
