# Linear-scale discrete degree distribution
# Node type: b, n=12591
# N: 28003, m: 2
# h: 0.7, f_a: 0.55
# Theories: Diamond, Sterling
# Generated: 2026-02-17T23:35:34.456449
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.505360972122945,0.5008048945751812,1.5612744022819878
1,0.20149313001350172,0.20167521713150588,0.4649023620518055
2,0.09959494877293305,0.10072787067213451,0.19516093832724857
3,0.05384798665713605,0.05733771093487772,0.09918013279046334
4,0.033833690731474866,0.0356604637513398,0.05694062281676038
5,0.02422365181478834,0.02364824863704243,0.03557803513795023
6,0.016440314510364547,0.016465358274749705,0.02365695379766623
7,0.011754427765864507,0.011911786817017662,0.016498064151600978
8,0.00921292987054245,0.008888138411735953,0.01194735399090483
9,0.006115479310618696,0.006803267554287154,0.008920205020376472
10,0.005797792073703439,0.0053200334569380135,0.00683041897530799
11,0.004924152172186482,0.004236611532223812,0.005342478252627871
12,0.0029386069414661267,0.0034271737856793032,0.004255015250948955
13,0.0035739814152966403,0.002810513535541776,0.0034422523460037775
14,0.002700341513779684,0.0023326371307625282,0.002822903144335779
15,0.0016678579938050988,0.001956700949993826,0.0023428650826165056
16,0.002144388849177984,0.001656983925488119,0.0019651914138827495
17,0.001350170756889842,0.001415163080560789,0.0016640738229349572
18,0.0016678579938050988,0.0012179479526810914,0.0014211189255035298
19,0.0011913271384322134,0.0010555408622183085,0.0012229806487652247
20,0.0007147962830593281,0.0009206124795348497,0.0010598177934583394
21,0.0007147962830593281,0.0008076066173743335,0.0009242670658294695
22,0.0007147962830593281,0.0007122599081592317,0.0008107457487467352
23,0.0007942180922881424,0.0006312644828121407,0.0007149696901249115
24,0.0005559526646016996,0.0005620275121212359,0.0006336146691815897
25,0.0002382654276864427,0.0005024974295266758,0.000564074929449399
26,0.0004765308553728854,0.0004510367468440837,0.0005042886305948044
27,0.0005559526646016996,0.00040632787658521967,0.00045261007514521654
28,0.0005559526646016996,0.0003673026354141069,0.00040771508011570146
29,0.0004765308553728854,0.0003330889397189819,0.0003685301345384155
30,0.0004765308553728854,0.0003029701202319687,0.0003341788284622688
31,0.0002382654276864427,0.0002763535944863563,0.00030394096121772883
32,0.00015884361845762846,0.00025274654556981966,0.0002772210533570561
33,0.0003971090461440712,0.00023173689391562427,0.0002535238999184557
34,0.00015884361845762846,0.0002129783017253107,0.00023243544361352698
35,7.942180922881423e-05,0.000196178274264201,0.0002136077013781712
36,0.0002382654276864427,0.00018108865729896093,0.0001967468038610195
37,7.942180922881423e-05,0.00016749800166892683,0.00018160344356286544
38,0.0002382654276864427,0.00015522539254928764,0.0001679651998981963
39,0.00015884361845762846,0.00014411543501877664,0.00015565033664501096
40,,0.0001340341579861155,0.00014450276177982213
41,,0.0001248656516777864,0.0001343879104980899
42,0.00015884361845762846,0.00011650929427247738,0.00012518936564471323
43,7.942180922881423e-05,0.0001088774541568976,0.0001168060703739389
44,7.942180922881423e-05,0.00010189357805591078,0.00010915001891048472
45,,9.549059370519768e-05,0.00010214433518818044
46,7.942180922881423e-05,8.960957008010636e-05,9.572166765614032e-05
47,7.942180922881423e-05,8.41985894301995e-05,8.98228429642167e-05
48,0.00015884361845762846,7.921179421715389e-05,8.439573253589024e-05
49,,7.460857905604162e-05,7.93942949319921e-05
50,7.942180922881423e-05,7.03529033291258e-05,7.477776394864473e-05
51,,6.641270459078589e-05,7.050995799157303e-05
52,7.942180922881423e-05,6.275939645347743e-05,6.655869074228011e-05
53,,5.936743752297514e-05,6.289526672172206e-05
54,7.942180922881423e-05,5.621396028090506e-05,5.949404825081832e-05
55,,5.327845070560497e-05,5.6332082649141026e-05
56,,5.054247096657616e-05,5.338878041616139e-05
57,7.942180922881423e-05,4.7989418792036244e-05,5.064563669169675e-05
58,,4.5604318147717575e-05,4.808598956302649e-05
59,7.942180922881423e-05,4.337363672161597e-05,4.569480983026049e-05
60,0.00015884361845762846,4.128512641757555e-05,4.345851770234121e-05
61,,3.932768364862535e-05,4.136482260807942e-05
62,7.942180922881423e-05,3.7491226710199303e-05,3.940258289746539e-05
63,,3.5766587921958495e-05,3.7561682700304866e-05
64,7.942180922881423e-05,3.414541856899676e-05,3.583292361982772e-05
65,,3.262010496051315e-05,3.4207929282711064e-05
66,,3.11836941657577e-05,3.2679061055625125e-05
67,7.942180922881423e-05,2.982982819135953e-05,3.1239343481448406e-05
68,,2.8552685536836008e-05,2.9882398193460548e-05
69,7.942180922881423e-05,2.734692921173009e-05,2.8602385239452207e-05
70,,2.6207660422478313e-05,2.7393950895002353e-05
71,,2.513037724345044e-05,2.6252181170454664e-05
72,,2.41109376773466e-05,2.5172560322920246e-05
73,,2.3145526587965767e-05,2.4150933775877924e-05
74,,2.2230626055048435e-05,2.3183474927072795e-05
75,7.942180922881423e-05,2.1362988758311304e-05,2.226665539245699e-05
76,7.942180922881423e-05,2.053961404720882e-05,2.139721829156699e-05
77,,1.9757726395686166e-05,2.057215422940615e-05
78,,1.901475597807083e-05,1.978867967278708e-05
79,,1.8308321134304748e-05,1.90442174561858e-05
80,0.00015884361845762846,1.763621252046809e-05,1.8336379184309066e-05
81,,1.6996378764740432e-05,1.7662949326489263e-05
82,,1.6386913469997806e-05,1.7021870822298838e-05
83,,1.580604342261941e-05,1.6411232038929035e-05
84,,1.525211788315704e-05,1.5829254939338524e-05
85,,1.4723598848587419e-05,1.5274284336316166e-05
86,,1.4219052188195913e-05,1.4744778121733229e-05
87,,1.373713956600213e-05,1.4239298372652977e-05
88,,1.3276611072147455e-05,1.3756503246850698e-05
89,,1.2836298494091634e-05,1.3295139589872114e-05
90,,1.2415109165847757e-05,1.285403618419335e-05
91,,1.2012020340053837e-05,1.2432097578487105e-05
92,,1.1626074033463112e-05,1.202829844157389e-05
93,,1.1256372301568545e-05,1.164167839145323e-05
94,,1.090207290261783e-05,1.1271337254961662e-05
95,7.942180922881423e-05,1.05623853153514e-05,1.0916430718174421e-05
96,,1.0236567078330011e-05,1.0576166331726355e-05
97,,9.923920421990545e-06,1.0249799838837031e-05
98,,9.623789167375776e-06,9.936631797038573e-06
99,,9.335555868031353e-06,9.636004467469503e-06
100,,9.058639173871334e-06,9.347298948154528e-06
101,,8.792491397813392e-06,9.06993252997481e-06
102,,8.536596267828302e-06,8.80335625607665e-06
103,,8.290466848679307e-06,8.547052667296664e-06
104,,8.053643619088771e-06,8.300533717822108e-06
105,,7.825692691391058e-06,8.063338846777362e-06
106,,7.6062041619196545e-06,7.835033192750486e-06
107,,7.3947905814329875e-06,7.615205939463197e-06
108,,7.191085535856925e-06,7.403468781858694e-06
109,,6.994742328478343e-06,7.19945450284664e-06
110,,6.805432755519645e-06,7.00281565181511e-06
111,,6.622845967714895e-06,6.813223316805136e-06
112,,6.446687411166678e-06,6.630365982953677e-06
113,7.942180922881423e-05,6.276677841326616e-06,6.453948470453176e-06
114,,6.1125524044838314e-06,6.2836909458574575e-06
115,,5.954059781598532e-06,6.119328001090623e-06
116,,5.800961389780118e-06,5.9606077949935945e-06
117,,5.653030637068893e-06,5.807291252676682e-06
118,,5.510052226577605e-06,5.6591513183406925e-06
119,,5.371821506322605e-06,5.51597225758737e-06
120,,5.23814386142464e-06,5.377549005566037e-06
121,,5.108834145587985e-06,5.243686557600191e-06
122,,4.98371614903443e-06,5.114199399208415e-06
123,,4.862622100279184e-06,4.988910972680807e-06
124,,4.745392199361783e-06,4.867653177597373e-06
125,,4.631874180303179e-06,4.75026590288066e-06
126,,4.521922900759429e-06,4.636596588162993e-06
127,7.942180922881423e-05,4.415399956981901e-06,4.526499812420794e-06
128,,4.3121733223455534e-06,4.419836907985945e-06
129,,4.212117007835034e-06,4.316475598188564e-06
130,,4.115110743002468e-06,4.216289657017743e-06
131,,4.021039676020944e-06,4.119158589308258e-06
132,,3.929794091556265e-06,4.024967330072581e-06
133,,3.8412691452758525e-06,3.93360596169989e-06
134,,3.755364613908799e-06,3.84496944783782e-06
135,,3.6719846598258026e-06,3.75895738285919e-06
136,,3.591037609215255e-06,3.675473755895517e-06
137,,3.512435742962422e-06,3.5944267284925173e-06
138,,3.436095099435658e-06,3.5157284250102298e-06
139,,3.3619352884118605e-06,3.4392947349527727e-06
140,,3.2898793154449e-06,3.3650451264701346e-06
141,,3.219853416019653e-06,3.2929024703274453e-06
142,,3.151786898888253e-06,3.2227928736861744e-06
143,,3.0856119980129154e-06,3.154645523086934e-06
