# Normalization constant A(k)
# Node type: b
# p0: 0.454141, alpha: 2.083333, gamma: 2.733279
# A_asymptotic: 7.995208
# Generated: 2026-02-18T18:29:28.916451
k,A_k,A_asymptotic
0,7.99520824333369,7.99520824333369
1,7.995208243333691,7.99520824333369
2,7.995208243333683,7.99520824333369
3,7.995208243333682,7.99520824333369
4,7.995208243333685,7.99520824333369
5,7.9952082433336855,7.99520824333369
6,7.995208243333686,7.99520824333369
7,7.995208243333687,7.99520824333369
8,7.995208243333686,7.99520824333369
9,7.995208243333688,7.99520824333369
10,7.995208243333682,7.99520824333369
11,7.995208243333684,7.99520824333369
12,7.995208243333646,7.99520824333369
13,7.995208243333645,7.99520824333369
14,7.9952082433336855,7.99520824333369
15,7.995208243333684,7.99520824333369
16,7.995208243333687,7.99520824333369
17,7.995208243333684,7.99520824333369
18,7.995208243333687,7.99520824333369
19,7.995208243333685,7.99520824333369
20,7.995208243333683,7.99520824333369
21,7.995208243333688,7.99520824333369
22,7.995208243333686,7.99520824333369
23,7.99520824333368,7.99520824333369
24,7.995208243333684,7.99520824333369
25,7.995208243333686,7.99520824333369
