# Raw node-level degree data
# Node type: a, n=53
# N: 104, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-02-18T18:29:24.201297
node_id,in_degree
0,26
2,41
6,5
8,8
14,2
15,0
16,9
17,6
19,3
21,1
22,1
23,11
28,0
29,4
31,2
34,5
36,1
37,1
40,1
42,1
45,1
46,1
47,1
48,0
51,3
53,1
55,2
56,0
60,1
62,0
67,0
68,0
69,0
70,0
72,1
74,1
75,0
77,1
78,0
79,0
81,1
84,2
85,0
86,0
90,0
93,0
95,0
96,0
98,0
99,0
101,0
102,0
103,0
