# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: a
# A: 5.691944, alpha: 1.923077, gamma: 2.606884
# Generated: 2026-02-18T19:14:41.889248
k,pmf,A,alpha,gamma
0,1.0349380805928892,5.6919443764937805,1.923076923076923,2.606883791233467
1,0.34743155904962303,5.6919443764937805,1.923076923076923,2.606883791233467
2,0.16134091009307225,5.6919443764937805,1.923076923076923,2.606883791233467
3,0.08926479637137673,5.6919443764937805,1.923076923076923,2.606883791233467
4,0.055121296384182776,5.6919443764937805,1.923076923076923,2.606883791233467
5,0.036702732194947706,5.6919443764937805,1.923076923076923,2.606883791233467
6,0.02581955669102558,5.6919443764937805,1.923076923076923,2.606883791233467
7,0.01893997699015629,5.6919443764937805,1.923076923076923,2.606883791233467
8,0.01435884181580759,5.6919443764937805,1.923076923076923,2.606883791233467
9,0.011179333645953592,5.6919443764937805,1.923076923076923,2.606883791233467
10,0.008896953392108695,5.6919443764937805,1.923076923076923,2.606883791233467
11,0.007212051509199124,5.6919443764937805,1.923076923076923,2.606883791233467
12,0.005938487329769867,5.6919443764937805,1.923076923076923,2.606883791233467
13,0.004956193679763582,5.6919443764937805,1.923076923076923,2.606883791233467
14,0.0041851975489114015,5.6919443764937805,1.923076923076923,2.606883791233467
15,0.0035707364595309854,5.6919443764937805,1.923076923076923,2.606883791233467
16,0.0030743955174623917,5.6919443764937805,1.923076923076923,2.606883791233467
17,0.002668649517728614,5.6919443764937805,1.923076923076923,2.606883791233467
18,0.002333401530978018,5.6919443764937805,1.923076923076923,2.606883791233467
19,0.002053729787869202,5.6919443764937805,1.923076923076923,2.606883791233467
20,0.001818386679390167,5.6919443764937805,1.923076923076923,2.606883791233467
21,0.0016187778081939075,5.6919443764937805,1.923076923076923,2.606883791233467
22,0.001448254422160678,5.6919443764937805,1.923076923076923,2.606883791233467
23,0.0013016146336043005,5.6919443764937805,1.923076923076923,2.606883791233467
24,0.0011747463329847899,5.6919443764937805,1.923076923076923,2.606883791233467
25,0.001064367899845241,5.6919443764937805,1.923076923076923,2.606883791233467
