# Network edges data
# Layout: spring
# N: 28005, m: 2
# h: 0.7, f_a: 0.4
# Initial core size (n0): 5
# Added nodes: 28000
# Generated: 2026-03-19T13:50:06.767823
source,target,source_origin,target_origin,source_type,target_type
0,1,initial_core,initial_core,Type a,Type b
0,2,initial_core,initial_core,Type a,Type a
1,2,initial_core,initial_core,Type b,Type a
1,4,initial_core,initial_core,Type b,Type b
2,3,initial_core,initial_core,Type a,Type b
2,1,initial_core,initial_core,Type a,Type b
3,0,initial_core,initial_core,Type b,Type a
3,2,initial_core,initial_core,Type b,Type a
4,2,initial_core,initial_core,Type b,Type a
4,1,initial_core,initial_core,Type b,Type b
5,4,added,initial_core,Type a,Type b
5,1,added,initial_core,Type a,Type b
6,1,added,initial_core,Type b,Type b
6,3,added,initial_core,Type b,Type b
7,3,added,initial_core,Type b,Type b
7,1,added,initial_core,Type b,Type b
8,1,added,initial_core,Type a,Type b
8,0,added,initial_core,Type a,Type a
9,8,added,added,Type a,Type a
9,1,added,initial_core,Type a,Type b
10,1,added,initial_core,Type a,Type b
10,5,added,added,Type a,Type a
11,0,added,initial_core,Type b,Type a
11,4,added,initial_core,Type b,Type b
12,3,added,initial_core,Type a,Type b
12,5,added,added,Type a,Type a
13,1,added,initial_core,Type b,Type b
13,9,added,added,Type b,Type a
14,12,added,added,Type b,Type a
14,0,added,initial_core,Type b,Type a
15,14,added,added,Type b,Type b
15,3,added,initial_core,Type b,Type b
16,5,added,added,Type b,Type a
16,10,added,added,Type b,Type a
17,0,added,initial_core,Type b,Type a
17,1,added,initial_core,Type b,Type b
18,16,added,added,Type a,Type b
18,8,added,added,Type a,Type a
19,7,added,added,Type b,Type b
19,8,added,added,Type b,Type a
20,17,added,added,Type b,Type b
20,16,added,added,Type b,Type b
21,1,added,initial_core,Type b,Type b
21,3,added,initial_core,Type b,Type b
22,8,added,added,Type a,Type a
22,14,added,added,Type a,Type b
23,1,added,initial_core,Type a,Type b
23,4,added,initial_core,Type a,Type b
24,16,added,added,Type a,Type b
24,4,added,initial_core,Type a,Type b
25,8,added,added,Type b,Type a
25,9,added,added,Type b,Type a
26,23,added,added,Type b,Type a
26,1,added,initial_core,Type b,Type b
27,4,added,initial_core,Type b,Type b
27,1,added,initial_core,Type b,Type b
28,8,added,added,Type a,Type a
28,25,added,added,Type a,Type b
29,0,added,initial_core,Type a,Type a
29,23,added,added,Type a,Type a
30,8,added,added,Type a,Type a
30,23,added,added,Type a,Type a
31,8,added,added,Type b,Type a
31,22,added,added,Type b,Type a
32,12,added,added,Type a,Type a
32,8,added,added,Type a,Type a
33,23,added,added,Type b,Type a
33,0,added,initial_core,Type b,Type a
34,8,added,added,Type a,Type a
34,19,added,added,Type a,Type b
35,6,added,added,Type a,Type b
35,30,added,added,Type a,Type a
36,8,added,added,Type b,Type a
36,30,added,added,Type b,Type a
37,1,added,initial_core,Type a,Type b
37,12,added,added,Type a,Type a
38,31,added,added,Type b,Type b
38,35,added,added,Type b,Type a
39,25,added,added,Type b,Type b
39,23,added,added,Type b,Type a
40,26,added,added,Type b,Type b
40,37,added,added,Type b,Type a
41,1,added,initial_core,Type a,Type b
41,4,added,initial_core,Type a,Type b
42,8,added,added,Type a,Type a
42,30,added,added,Type a,Type a
43,11,added,added,Type a,Type b
43,30,added,added,Type a,Type a
44,1,added,initial_core,Type a,Type b
44,4,added,initial_core,Type a,Type b
45,32,added,added,Type a,Type a
45,2,added,initial_core,Type a,Type a
46,33,added,added,Type a,Type b
46,21,added,added,Type a,Type b
47,1,added,initial_core,Type b,Type b
47,44,added,added,Type b,Type a
