# Network nodes data
# Layout: spring
# N: 28004, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-04-09T15:34:27.863088
node_id,node_type,in_degree,out_degree
0,Type a,780,3
1,Type b,862,3
2,Type a,1299,3
3,Type b,713,3
4,Type b,268,3
5,Type b,239,3
6,Type a,83,3
7,Type b,201,3
8,Type a,327,3
9,Type b,219,3
10,Type b,204,3
11,Type b,166,3
12,Type b,143,3
13,Type b,305,3
14,Type a,159,3
15,Type a,22,3
16,Type a,468,3
17,Type a,220,3
18,Type b,190,3
19,Type a,121,3
20,Type b,285,3
21,Type a,100,3
22,Type a,60,3
23,Type a,425,3
24,Type b,157,3
25,Type b,15,3
26,Type b,47,3
27,Type b,36,3
28,Type a,2,3
29,Type a,157,3
30,Type b,64,3
31,Type a,212,3
32,Type b,158,3
33,Type b,38,3
34,Type a,228,3
35,Type b,123,3
36,Type a,64,3
37,Type a,103,3
38,Type b,56,3
39,Type b,139,3
40,Type a,62,3
41,Type b,61,3
42,Type a,55,3
43,Type b,51,3
44,Type b,134,3
45,Type a,70,3
46,Type a,59,3
47,Type a,216,3
48,Type a,117,3
49,Type b,22,3
50,Type b,77,3
51,Type a,71,3
52,Type b,1,3
53,Type a,13,3
54,Type b,68,3
55,Type a,96,3
56,Type a,45,3
57,Type b,80,3
58,Type b,175,3
59,Type b,76,3
60,Type a,36,3
61,Type b,18,3
62,Type a,52,3
63,Type b,72,3
64,Type b,148,3
65,Type b,86,3
66,Type b,65,3
67,Type a,17,3
68,Type a,126,3
69,Type a,13,3
70,Type a,25,3
71,Type b,1,3
72,Type a,117,3
73,Type b,45,3
74,Type a,81,3
75,Type a,3,3
76,Type b,166,3
77,Type a,10,3
78,Type a,9,3
79,Type a,68,3
80,Type b,34,3
81,Type a,40,3
82,Type b,183,3
83,Type b,29,3
84,Type a,65,3
85,Type a,74,3
86,Type a,26,3
87,Type b,67,3
88,Type b,83,3
89,Type b,31,3
90,Type a,61,3
91,Type b,91,3
92,Type b,30,3
93,Type a,32,3
94,Type b,63,3
95,Type a,124,3
96,Type a,52,3
97,Type b,76,3
98,Type a,46,3
99,Type a,31,3
100,Type b,50,3
101,Type a,37,3
102,Type a,27,3
103,Type a,95,3
104,Type b,95,3
105,Type a,40,3
106,Type b,2,3
107,Type a,85,3
108,Type a,31,3
109,Type a,119,3
110,Type a,143,3
111,Type b,15,3
112,Type b,10,3
113,Type a,15,3
114,Type b,6,3
115,Type a,50,3
116,Type b,96,3
117,Type b,41,3
118,Type a,33,3
119,Type a,83,3
120,Type a,63,3
121,Type a,122,3
122,Type b,30,3
123,Type b,59,3
124,Type b,6,3
125,Type a,93,3
126,Type a,18,3
127,Type b,7,3
128,Type b,36,3
129,Type a,164,3
130,Type a,67,3
131,Type b,57,3
132,Type a,42,3
133,Type b,65,3
134,Type a,5,3
135,Type a,32,3
136,Type b,71,3
137,Type a,41,3
138,Type b,41,3
139,Type b,30,3
140,Type b,59,3
141,Type a,34,3
142,Type b,7,3
143,Type a,10,3
144,Type b,60,3
145,Type a,165,3
146,Type b,93,3
147,Type a,43,3
148,Type a,46,3
149,Type a,8,3
150,Type a,48,3
151,Type b,98,3
152,Type a,50,3
153,Type b,28,3
154,Type a,16,3
155,Type b,17,3
156,Type a,100,3
157,Type a,30,3
158,Type a,71,3
159,Type b,15,3
160,Type a,109,3
161,Type a,24,3
162,Type a,31,3
163,Type a,53,3
164,Type b,52,3
165,Type a,15,3
166,Type a,54,3
167,Type b,27,3
168,Type a,31,3
169,Type a,46,3
170,Type a,39,3
171,Type b,19,3
172,Type a,25,3
173,Type b,78,3
174,Type b,29,3
175,Type a,70,3
176,Type b,27,3
177,Type a,87,3
178,Type a,36,3
179,Type b,6,3
180,Type a,7,3
181,Type a,19,3
182,Type a,19,3
183,Type b,25,3
184,Type a,37,3
185,Type b,7,3
186,Type a,98,3
187,Type a,15,3
188,Type b,25,3
189,Type a,102,3
190,Type a,55,3
191,Type a,146,3
192,Type a,50,3
193,Type a,108,3
194,Type b,29,3
195,Type a,52,3
196,Type a,52,3
197,Type b,41,3
198,Type a,8,3
199,Type b,20,3
200,Type a,23,3
201,Type b,5,3
202,Type b,21,3
203,Type b,35,3
204,Type a,3,3
205,Type a,14,3
206,Type a,46,3
207,Type b,161,3
208,Type b,34,3
209,Type b,24,3
210,Type b,63,3
211,Type b,80,3
212,Type a,80,3
213,Type a,9,3
214,Type a,47,3
215,Type b,17,3
216,Type a,67,3
217,Type a,37,3
218,Type a,87,3
219,Type b,43,3
220,Type a,30,3
221,Type a,9,3
