# Raw node-level degree data
# Node type: a, n=487
# N: 5,004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-10T10:09:12.630511
node_id,in_degree
8,16
21,5
53,1
55,3
59,1
62,3
65,1
66,1
75,1
79,3
81,3
95,3
120,0
125,4
127,3
151,0
158,0
167,4
203,2
206,0
207,0
215,1
219,0
220,3
227,3
234,0
237,1
244,2
248,1
269,0
278,1
286,2
298,0
310,0
324,1
375,1
390,4
424,3
432,1
434,1
439,0
461,0
467,0
477,1
483,2
487,1
493,3
496,1
518,0
526,1
527,1
548,0
566,1
571,1
591,0
593,1
595,2
609,2
617,3
620,0
623,0
664,1
669,0
674,2
679,0
693,1
701,1
724,0
730,0
735,1
738,4
739,3
752,0
753,0
768,0
774,1
775,2
776,0
799,0
802,1
804,0
808,0
828,1
838,0
843,1
866,1
881,2
892,0
903,0
912,2
922,2
937,0
938,1
945,2
974,0
977,1
988,2
1003,0
1008,0
1011,3
1016,0
1031,1
1051,1
1059,0
1062,2
1118,0
1122,0
1128,0
1135,1
1147,0
1156,2
1157,0
1162,0
1163,0
1164,1
1179,2
1220,1
1232,2
1234,0
1239,0
1248,0
1249,1
1253,0
1265,0
1289,0
1291,0
1326,1
1329,0
1344,0
1348,1
1356,2
1361,0
1373,0
1383,0
1401,1
1404,0
1420,3
1440,1
1444,0
1450,0
1467,0
1487,1
1496,0
1501,1
1511,1
1538,0
1544,1
1588,1
1592,2
1608,0
1611,0
1615,0
1616,0
1618,1
1622,0
1626,0
1629,0
1644,0
1647,1
1658,0
1676,0
1681,0
1683,0
1687,0
1705,0
1715,2
1718,1
1729,0
1730,0
1736,0
1741,0
1748,2
1757,0
1772,0
1780,1
1782,1
1785,0
1806,1
1815,0
1847,1
1848,0
1858,0
1861,0
1868,0
1880,0
1889,0
1916,0
1922,0
1923,0
1925,0
1932,1
1943,0
1977,0
1983,0
1985,1
1986,0
1987,0
1995,2
2019,2
2021,1
2035,0
2036,0
2051,0
2055,0
2058,6
2066,0
2100,1
2101,0
2106,0
2107,0
2149,0
2174,0
2175,0
2187,0
2193,0
2194,1
2211,0
2216,0
2225,0
2230,0
2231,2
2233,1
2252,1
2263,1
2265,0
2296,0
2316,1
2321,0
2332,0
2348,0
2361,0
2376,0
2392,0
2394,0
2396,1
2398,1
2420,0
2426,0
2442,1
2443,0
2445,0
2452,0
2457,1
2461,0
2472,0
2473,0
2488,0
2500,0
2513,0
2517,0
2542,0
2554,0
2562,2
2565,0
2596,0
2604,0
2639,0
2651,0
2669,0
2677,0
2691,0
2692,0
2694,0
2700,0
2705,0
2706,1
2708,0
2713,0
2719,0
2747,0
2754,0
2762,1
2777,0
2778,0
2793,0
2799,1
2807,1
2809,0
2811,0
2812,0
2826,0
2846,0
2851,1
2855,1
2861,1
2865,1
2866,0
2876,0
2888,0
2896,0
2929,0
2930,0
2934,2
2940,0
2976,0
2982,1
2986,2
2994,0
3009,1
3024,1
3025,0
3026,0
3039,0
3054,0
3119,0
3145,0
3154,1
3159,0
3197,0
3202,0
3241,0
3247,0
3250,0
3251,0
3258,0
3261,0
3272,0
3274,0
3275,0
3283,0
3292,0
3293,1
3302,0
3316,0
3321,0
3341,0
3366,1
3367,1
3379,0
3395,0
3417,0
3419,0
3423,0
3430,1
3435,0
3442,0
3443,0
3446,0
3451,0
3472,1
3476,0
3481,0
3486,0
3497,0
3500,0
3503,0
3505,0
3511,0
3521,0
3530,0
3536,0
3549,0
3563,2
3593,0
3598,1
3599,1
3604,0
3617,0
3619,0
3621,0
3639,2
3652,0
3656,0
3660,0
3667,0
3677,1
3681,0
3696,0
3699,0
3701,2
3706,0
3714,0
3719,1
3732,1
3733,0
3736,0
3738,0
3739,0
3740,0
3747,0
3774,0
3782,0
3789,0
3837,1
3846,1
3854,0
3856,0
3858,1
3864,0
3873,0
3875,0
3879,0
3919,0
3929,0
3931,0
3953,0
3954,0
3965,0
3970,0
3973,0
3974,0
3981,0
3990,0
4031,0
4035,0
4041,0
4069,0
4077,0
4081,1
4121,0
4127,0
4128,0
4145,0
4152,0
4158,0
4162,0
4215,0
4217,0
4233,0
4236,0
4241,0
4244,0
4256,0
4263,0
4274,0
4277,0
4279,0
4283,0
4284,0
4287,0
4305,0
4321,0
4327,0
4382,0
4385,0
4389,0
4403,0
4417,0
4425,0
4433,0
4439,0
4458,0
4500,0
4515,1
4518,0
4537,0
4564,0
4569,0
4584,0
4588,0
4602,0
4618,0
4631,1
4633,0
4636,0
4661,0
4667,0
4670,0
4671,0
4684,0
4687,0
4706,0
4709,0
4723,0
4740,0
4744,0
4760,0
4763,0
4780,0
4782,0
4792,0
4795,0
4812,0
4877,0
4891,0
4896,0
4902,0
4913,0
4914,0
4925,0
4941,0
4950,0
4959,0
4961,0
4988,0
4992,0
4995,0
