# Network nodes data
# Layout: spring
# N: 28005, m: 2
# h: 0.7, f_a: 0.4
# Initial core size (n0): 5
# Added nodes: 28000
# Generated: 2026-08-19T11:53:41.537369
node_id,node_origin,node_type,in_degree,out_degree
0,initial_core,Type a,115,2
1,initial_core,Type b,291,2
2,initial_core,Type a,70,2
3,initial_core,Type b,133,2
4,initial_core,Type b,158,2
5,added,Type a,43,2
6,added,Type b,41,2
7,added,Type b,16,2
8,added,Type a,201,2
9,added,Type a,52,2
10,added,Type a,35,2
11,added,Type b,17,2
12,added,Type a,80,2
13,added,Type b,12,2
14,added,Type b,120,2
15,added,Type b,30,2
16,added,Type b,111,2
17,added,Type b,65,2
18,added,Type a,60,2
19,added,Type b,62,2
20,added,Type b,34,2
21,added,Type b,16,2
22,added,Type a,11,2
23,added,Type a,105,2
24,added,Type a,58,2
25,added,Type b,109,2
26,added,Type b,52,2
27,added,Type b,22,2
28,added,Type a,39,2
29,added,Type a,15,2
30,added,Type a,64,2
31,added,Type b,46,2
32,added,Type a,73,2
33,added,Type b,40,2
34,added,Type a,36,2
35,added,Type a,86,2
36,added,Type b,37,2
37,added,Type a,60,2
38,added,Type b,18,2
39,added,Type b,5,2
40,added,Type b,26,2
41,added,Type a,53,2
42,added,Type a,38,2
43,added,Type a,23,2
44,added,Type a,62,2
45,added,Type a,60,2
46,added,Type a,17,2
47,added,Type b,22,2
48,added,Type b,12,2
49,added,Type b,10,2
50,added,Type b,32,2
51,added,Type a,22,2
52,added,Type a,72,2
53,added,Type b,28,2
54,added,Type b,47,2
55,added,Type a,65,2
56,added,Type b,8,2
57,added,Type b,10,2
58,added,Type a,25,2
59,added,Type a,8,2
60,added,Type a,28,2
61,added,Type b,30,2
62,added,Type b,8,2
63,added,Type b,69,2
64,added,Type a,54,2
65,added,Type a,13,2
66,added,Type a,39,2
67,added,Type a,30,2
68,added,Type b,17,2
69,added,Type a,37,2
70,added,Type b,2,2
71,added,Type a,25,2
72,added,Type b,70,2
73,added,Type b,10,2
74,added,Type b,5,2
75,added,Type a,11,2
76,added,Type a,58,2
77,added,Type b,22,2
78,added,Type b,34,2
79,added,Type b,13,2
80,added,Type a,11,2
81,added,Type a,27,2
82,added,Type a,26,2
83,added,Type a,50,2
84,added,Type b,38,2
85,added,Type a,28,2
86,added,Type b,23,2
87,added,Type b,52,2
88,added,Type a,36,2
89,added,Type b,21,2
90,added,Type b,32,2
91,added,Type a,56,2
92,added,Type a,53,2
93,added,Type a,37,2
94,added,Type a,28,2
95,added,Type b,23,2
96,added,Type a,57,2
97,added,Type b,54,2
98,added,Type a,41,2
99,added,Type b,7,2
100,added,Type b,54,2
101,added,Type a,72,2
102,added,Type a,49,2
103,added,Type a,36,2
104,added,Type a,18,2
105,added,Type a,43,2
106,added,Type b,44,2
107,added,Type b,20,2
108,added,Type a,39,2
109,added,Type b,24,2
110,added,Type b,42,2
111,added,Type b,37,2
112,added,Type b,12,2
113,added,Type b,10,2
114,added,Type b,38,2
115,added,Type b,5,2
116,added,Type a,40,2
117,added,Type a,13,2
118,added,Type b,18,2
119,added,Type b,23,2
120,added,Type a,28,2
121,added,Type b,32,2
122,added,Type a,45,2
123,added,Type a,33,2
124,added,Type b,17,2
125,added,Type b,11,2
126,added,Type b,11,2
127,added,Type b,8,2
128,added,Type a,16,2
129,added,Type b,1,2
130,added,Type b,16,2
131,added,Type b,7,2
132,added,Type a,18,2
133,added,Type b,31,2
134,added,Type a,15,2
135,added,Type a,11,2
136,added,Type a,28,2
137,added,Type b,94,2
138,added,Type a,31,2
139,added,Type b,8,2
140,added,Type b,8,2
141,added,Type a,9,2
142,added,Type b,23,2
143,added,Type a,20,2
144,added,Type a,27,2
145,added,Type b,20,2
146,added,Type b,25,2
147,added,Type b,91,2
148,added,Type a,28,2
149,added,Type a,47,2
150,added,Type b,9,2
151,added,Type b,16,2
152,added,Type a,25,2
153,added,Type b,4,2
154,added,Type b,21,2
155,added,Type a,31,2
156,added,Type a,29,2
157,added,Type b,19,2
158,added,Type b,16,2
159,added,Type a,28,2
160,added,Type a,18,2
161,added,Type b,59,2
162,added,Type b,20,2
163,added,Type b,11,2
164,added,Type b,34,2
165,added,Type b,35,2
166,added,Type b,4,2
167,added,Type a,33,2
168,added,Type b,8,2
169,added,Type b,23,2
170,added,Type b,38,2
171,added,Type b,14,2
172,added,Type a,56,2
173,added,Type b,21,2
174,added,Type a,14,2
175,added,Type a,17,2
176,added,Type a,14,2
177,added,Type b,11,2
178,added,Type a,44,2
179,added,Type b,55,2
180,added,Type a,15,2
181,added,Type b,6,2
182,added,Type b,10,2
183,added,Type b,0,2
184,added,Type a,35,2
185,added,Type b,6,2
186,added,Type b,2,2
187,added,Type a,15,2
188,added,Type b,10,2
189,added,Type b,20,2
190,added,Type a,36,2
191,added,Type b,15,2
192,added,Type b,37,2
193,added,Type b,13,2
194,added,Type a,36,2
195,added,Type b,6,2
196,added,Type a,25,2
197,added,Type a,40,2
198,added,Type a,34,2
199,added,Type b,29,2
200,added,Type a,21,2
201,added,Type b,19,2
202,added,Type a,9,2
203,added,Type b,20,2
204,added,Type b,8,2
205,added,Type a,26,2
206,added,Type b,21,2
207,added,Type a,14,2
208,added,Type b,15,2
209,added,Type a,36,2
210,added,Type a,24,2
211,added,Type b,12,2
212,added,Type a,32,2
213,added,Type a,24,2
214,added,Type a,15,2
215,added,Type b,2,2
216,added,Type b,7,2
217,added,Type b,10,2
218,added,Type a,17,2
219,added,Type b,51,2
220,added,Type a,34,2
221,added,Type b,2,2
222,added,Type a,32,2
223,added,Type a,13,2
224,added,Type b,10,2
225,added,Type a,36,2
226,added,Type b,18,2
227,added,Type b,21,2
228,added,Type b,2,2
229,added,Type a,5,2
230,added,Type b,24,2
231,added,Type b,4,2
232,added,Type a,13,2
233,added,Type b,8,2
234,added,Type a,15,2
235,added,Type b,6,2
236,added,Type a,15,2
237,added,Type a,26,2
238,added,Type b,24,2
239,added,Type b,3,2
240,added,Type b,14,2
241,added,Type b,7,2
242,added,Type a,67,2
243,added,Type b,13,2
244,added,Type b,7,2
245,added,Type b,1,2
246,added,Type a,19,2
247,added,Type a,20,2
248,added,Type b,5,2
249,added,Type a,13,2
250,added,Type a,5,2
251,added,Type a,18,2
252,added,Type b,44,2
253,added,Type a,27,2
254,added,Type a,31,2
255,added,Type a,40,2
256,added,Type b,9,2
257,added,Type a,39,2
258,added,Type a,14,2
259,added,Type b,19,2
260,added,Type b,6,2
261,added,Type a,19,2
262,added,Type a,19,2
263,added,Type b,5,2
264,added,Type b,17,2
265,added,Type b,9,2
266,added,Type a,25,2
267,added,Type b,24,2
268,added,Type b,3,2
269,added,Type a,35,2
270,added,Type a,20,2
271,added,Type b,39,2
272,added,Type a,3,2
273,added,Type a,32,2
274,added,Type a,31,2
275,added,Type b,2,2
276,added,Type b,0,2
277,added,Type b,16,2
278,added,Type b,6,2
279,added,Type b,3,2
280,added,Type b,6,2
281,added,Type b,7,2
282,added,Type b,2,2
283,added,Type b,20,2
284,added,Type a,18,2
285,added,Type a,21,2
286,added,Type b,9,2
287,added,Type a,43,2
288,added,Type b,3,2
289,added,Type b,4,2
290,added,Type b,39,2
291,added,Type b,13,2
292,added,Type b,1,2
293,added,Type b,15,2
294,added,Type b,14,2
295,added,Type b,3,2
296,added,Type a,17,2
297,added,Type b,10,2
298,added,Type a,42,2
299,added,Type b,12,2
300,added,Type b,11,2
301,added,Type b,5,2
302,added,Type b,17,2
303,added,Type a,17,2
304,added,Type a,7,2
305,added,Type b,26,2
306,added,Type a,11,2
307,added,Type a,10,2
308,added,Type a,37,2
309,added,Type b,21,2
310,added,Type b,9,2
311,added,Type a,17,2
312,added,Type b,4,2
313,added,Type b,9,2
314,added,Type b,9,2
315,added,Type a,16,2
316,added,Type a,42,2
317,added,Type a,23,2
318,added,Type a,14,2
319,added,Type b,8,2
320,added,Type b,2,2
321,added,Type b,6,2
322,added,Type a,21,2
323,added,Type a,18,2
324,added,Type a,2,2
325,added,Type a,13,2
326,added,Type a,25,2
327,added,Type b,2,2
328,added,Type b,13,2
329,added,Type a,24,2
330,added,Type b,16,2
331,added,Type b,18,2
332,added,Type b,30,2
333,added,Type a,10,2
334,added,Type a,7,2
335,added,Type b,18,2
336,added,Type b,18,2
337,added,Type b,20,2
338,added,Type a,17,2
339,added,Type b,6,2
340,added,Type b,11,2
341,added,Type b,10,2
342,added,Type b,39,2
343,added,Type a,47,2
344,added,Type b,6,2
345,added,Type a,26,2
346,added,Type b,11,2
347,added,Type b,18,2
348,added,Type a,19,2
349,added,Type a,13,2
350,added,Type b,20,2
351,added,Type b,11,2
352,added,Type b,7,2
353,added,Type b,19,2
354,added,Type b,12,2
355,added,Type b,9,2
356,added,Type b,11,2
357,added,Type b,11,2
358,added,Type b,16,2
359,added,Type b,52,2
360,added,Type a,23,2
361,added,Type b,0,2
362,added,Type b,10,2
363,added,Type b,5,2
364,added,Type b,10,2
365,added,Type b,4,2
366,added,Type b,3,2
367,added,Type a,19,2
368,added,Type b,18,2
369,added,Type a,28,2
370,added,Type a,34,2
371,added,Type b,13,2
372,added,Type b,7,2
373,added,Type a,22,2
374,added,Type a,24,2
375,added,Type b,4,2
376,added,Type a,28,2
377,added,Type b,1,2
378,added,Type b,7,2
379,added,Type b,0,2
380,added,Type a,19,2
381,added,Type a,16,2
382,added,Type b,5,2
383,added,Type a,37,2
384,added,Type b,2,2
385,added,Type b,19,2
386,added,Type b,20,2
387,added,Type b,22,2
388,added,Type a,22,2
389,added,Type b,7,2
390,added,Type a,21,2
391,added,Type b,2,2
392,added,Type b,4,2
393,added,Type b,4,2
394,added,Type b,9,2
395,added,Type a,11,2
396,added,Type a,7,2
397,added,Type a,17,2
398,added,Type b,14,2
399,added,Type b,6,2
400,added,Type a,25,2
401,added,Type b,0,2
402,added,Type b,12,2
403,added,Type b,10,2
404,added,Type b,0,2
405,added,Type b,16,2
406,added,Type a,12,2
407,added,Type b,4,2
408,added,Type b,4,2
409,added,Type b,5,2
410,added,Type b,0,2
411,added,Type b,11,2
412,added,Type b,13,2
413,added,Type b,3,2
414,added,Type b,6,2
415,added,Type b,8,2
416,added,Type b,6,2
417,added,Type a,41,2
418,added,Type a,24,2
419,added,Type b,16,2
420,added,Type a,13,2
421,added,Type b,21,2
422,added,Type a,18,2
423,added,Type b,6,2
424,added,Type b,10,2
425,added,Type a,17,2
426,added,Type b,4,2
427,added,Type b,2,2
428,added,Type b,12,2
429,added,Type a,13,2
430,added,Type b,4,2
431,added,Type b,15,2
432,added,Type a,6,2
433,added,Type b,15,2
434,added,Type b,7,2
435,added,Type b,25,2
436,added,Type b,16,2
437,added,Type a,10,2
438,added,Type b,7,2
439,added,Type b,16,2
440,added,Type b,23,2
441,added,Type b,14,2
442,added,Type b,3,2
443,added,Type a,11,2
444,added,Type a,10,2
445,added,Type b,6,2
446,added,Type b,11,2
447,added,Type b,23,2
448,added,Type b,6,2
449,added,Type a,21,2
450,added,Type b,8,2
451,added,Type a,14,2
452,added,Type b,18,2
453,added,Type b,14,2
454,added,Type a,30,2
455,added,Type a,17,2
456,added,Type b,19,2
457,added,Type a,20,2
458,added,Type b,7,2
459,added,Type b,13,2
460,added,Type a,12,2
461,added,Type a,25,2
462,added,Type b,5,2
463,added,Type b,4,2
464,added,Type b,0,2
465,added,Type b,21,2
466,added,Type a,9,2
467,added,Type a,33,2
468,added,Type b,27,2
469,added,Type b,10,2
470,added,Type b,9,2
471,added,Type b,18,2
472,added,Type b,12,2
473,added,Type a,19,2
474,added,Type b,0,2
475,added,Type b,22,2
476,added,Type a,11,2
477,added,Type b,5,2
478,added,Type b,7,2
479,added,Type a,15,2
480,added,Type b,2,2
481,added,Type b,3,2
482,added,Type b,4,2
483,added,Type b,13,2
484,added,Type a,30,2
485,added,Type a,18,2
486,added,Type b,28,2
487,added,Type b,22,2
488,added,Type a,2,2
489,added,Type a,20,2
490,added,Type b,0,2
491,added,Type b,1,2
492,added,Type a,13,2
493,added,Type b,2,2
494,added,Type b,3,2
495,added,Type a,28,2
496,added,Type b,23,2
497,added,Type b,12,2
498,added,Type b,7,2
499,added,Type b,9,2
500,added,Type a,9,2
501,added,Type a,20,2
502,added,Type b,1,2
503,added,Type a,7,2
504,added,Type a,12,2
505,added,Type b,3,2
506,added,Type a,14,2
507,added,Type a,13,2
508,added,Type a,8,2
509,added,Type a,16,2
510,added,Type b,13,2
511,added,Type b,10,2
512,added,Type b,1,2
513,added,Type a,15,2
514,added,Type b,10,2
515,added,Type b,6,2
516,added,Type a,9,2
517,added,Type a,8,2
518,added,Type b,7,2
519,added,Type a,22,2
520,added,Type b,2,2
521,added,Type b,6,2
522,added,Type b,9,2
523,added,Type b,5,2
524,added,Type b,4,2
525,added,Type b,4,2
526,added,Type b,12,2
527,added,Type b,7,2
528,added,Type b,19,2
529,added,Type b,2,2
530,added,Type b,10,2
531,added,Type b,26,2
532,added,Type a,11,2
533,added,Type b,8,2
534,added,Type b,7,2
535,added,Type b,15,2
536,added,Type b,3,2
537,added,Type a,11,2
538,added,Type b,5,2
539,added,Type a,14,2
540,added,Type b,3,2
541,added,Type b,4,2
542,added,Type b,6,2
543,added,Type a,11,2
544,added,Type b,23,2
545,added,Type b,11,2
546,added,Type b,13,2
547,added,Type b,15,2
548,added,Type a,24,2
549,added,Type b,12,2
550,added,Type a,5,2
551,added,Type a,16,2
552,added,Type b,10,2
553,added,Type a,17,2
554,added,Type a,11,2
555,added,Type b,7,2
556,added,Type b,3,2
557,added,Type a,30,2
558,added,Type b,0,2
559,added,Type a,3,2
560,added,Type b,2,2
561,added,Type b,1,2
562,added,Type b,6,2
563,added,Type a,12,2
564,added,Type a,13,2
565,added,Type a,12,2
566,added,Type a,20,2
567,added,Type b,3,2
568,added,Type a,7,2
569,added,Type b,8,2
570,added,Type a,20,2
571,added,Type b,0,2
572,added,Type a,34,2
573,added,Type b,12,2
574,added,Type b,10,2
575,added,Type a,8,2
576,added,Type b,4,2
577,added,Type b,1,2
578,added,Type a,24,2
579,added,Type b,16,2
580,added,Type b,5,2
581,added,Type a,20,2
582,added,Type a,10,2
583,added,Type b,33,2
584,added,Type b,1,2
585,added,Type b,3,2
586,added,Type b,2,2
587,added,Type b,9,2
588,added,Type b,6,2
589,added,Type b,1,2
590,added,Type b,2,2
591,added,Type a,21,2
592,added,Type a,10,2
593,added,Type a,4,2
594,added,Type b,11,2
595,added,Type b,1,2
596,added,Type b,18,2
597,added,Type b,11,2
598,added,Type b,1,2
599,added,Type a,11,2
600,added,Type a,26,2
601,added,Type a,31,2
602,added,Type b,7,2
603,added,Type b,5,2
604,added,Type b,2,2
605,added,Type b,11,2
606,added,Type b,5,2
607,added,Type b,24,2
608,added,Type a,20,2
609,added,Type a,23,2
610,added,Type b,0,2
611,added,Type b,1,2
612,added,Type a,10,2
613,added,Type a,17,2
614,added,Type b,12,2
615,added,Type b,9,2
616,added,Type a,17,2
617,added,Type a,20,2
618,added,Type a,7,2
619,added,Type a,14,2
620,added,Type b,17,2
621,added,Type b,4,2
622,added,Type b,5,2
623,added,Type a,14,2
624,added,Type b,15,2
625,added,Type a,9,2
626,added,Type a,11,2
627,added,Type b,14,2
628,added,Type b,13,2
629,added,Type b,0,2
630,added,Type b,4,2
631,added,Type b,21,2
632,added,Type b,6,2
633,added,Type a,20,2
634,added,Type a,6,2
635,added,Type a,17,2
636,added,Type a,13,2
637,added,Type a,4,2
638,added,Type a,17,2
639,added,Type a,12,2
640,added,Type a,7,2
641,added,Type a,16,2
642,added,Type a,4,2
643,added,Type a,21,2
644,added,Type b,4,2
645,added,Type a,10,2
646,added,Type a,18,2
647,added,Type b,4,2
648,added,Type a,17,2
649,added,Type b,4,2
650,added,Type b,2,2
651,added,Type b,2,2
652,added,Type b,9,2
653,added,Type b,6,2
654,added,Type a,10,2
655,added,Type b,15,2
656,added,Type b,4,2
657,added,Type b,9,2
658,added,Type b,20,2
659,added,Type b,2,2
660,added,Type a,10,2
661,added,Type b,7,2
662,added,Type a,21,2
663,added,Type a,3,2
664,added,Type b,7,2
665,added,Type b,0,2
666,added,Type b,4,2
667,added,Type a,10,2
668,added,Type a,8,2
669,added,Type b,9,2
670,added,Type a,10,2
671,added,Type a,14,2
672,added,Type a,19,2
673,added,Type b,8,2
674,added,Type b,8,2
675,added,Type a,25,2
676,added,Type b,6,2
677,added,Type b,12,2
678,added,Type a,34,2
679,added,Type b,7,2
680,added,Type b,3,2
681,added,Type b,3,2
682,added,Type a,12,2
683,added,Type b,10,2
684,added,Type b,20,2
685,added,Type a,8,2
686,added,Type b,1,2
687,added,Type a,9,2
688,added,Type a,8,2
689,added,Type b,0,2
690,added,Type b,10,2
691,added,Type a,10,2
692,added,Type a,14,2
693,added,Type a,15,2
694,added,Type a,16,2
695,added,Type b,2,2
696,added,Type b,8,2
697,added,Type b,13,2
698,added,Type a,12,2
699,added,Type b,2,2
700,added,Type a,12,2
701,added,Type b,2,2
702,added,Type a,7,2
703,added,Type a,8,2
704,added,Type b,7,2
705,added,Type a,9,2
706,added,Type a,4,2
707,added,Type a,17,2
708,added,Type b,4,2
709,added,Type b,14,2
710,added,Type a,6,2
711,added,Type b,5,2
712,added,Type b,13,2
713,added,Type a,37,2
714,added,Type a,14,2
715,added,Type b,3,2
716,added,Type b,19,2
