# Normalization constant A(k)
# Node type: b
# p0: 0.455213, alpha: 2.083333, gamma: 2.740791
# A_asymptotic: 8.102793
# Generated: 2026-02-18T19:14:41.867648
k,A_k,A_asymptotic
0,8.1027931029593,8.1027931029593
1,8.1027931029593,8.1027931029593
2,8.102793102959293,8.1027931029593
3,8.102793102959296,8.1027931029593
4,8.102793102959298,8.1027931029593
5,8.1027931029593,8.1027931029593
6,8.102793102959296,8.1027931029593
7,8.102793102959296,8.1027931029593
8,8.1027931029593,8.1027931029593
9,8.1027931029593,8.1027931029593
10,8.102793102959298,8.1027931029593
11,8.102793102959293,8.1027931029593
12,8.102793102959337,8.1027931029593
13,8.102793102959339,8.1027931029593
14,8.102793102959295,8.1027931029593
15,8.102793102959295,8.1027931029593
16,8.102793102959298,8.1027931029593
17,8.102793102959298,8.1027931029593
18,8.102793102959298,8.1027931029593
19,8.102793102959295,8.1027931029593
20,8.102793102959295,8.1027931029593
21,8.102793102959296,8.1027931029593
22,8.102793102959302,8.1027931029593
23,8.102793102959291,8.1027931029593
24,8.102793102959298,8.1027931029593
25,8.102793102959296,8.1027931029593
