# Linear-scale discrete degree distribution
# Node type: b, n=12663
# N: 28004, m: 3
# h: 0.7, f_a: 0.55
# Theories: Diamond, Sterling
# Generated: 2026-02-18T19:14:39.420462
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.4572376214167259,0.45521293897668397,1.083886167990861
1,0.19576719576719576,0.19658704222084794,0.37011095100756003
2,0.10218747532180368,0.1040745988628189,0.17138425860582154
3,0.06072810550422491,0.06227484612176948,0.09402194091283417
4,0.03940614388375582,0.04045996673658507,0.057473368070139946
5,0.028113401247729607,0.02789301933256403,0.03787138270650371
6,0.02211166390270868,0.020111264011971566,0.02637054547214085
7,0.015320224275448156,0.015018864265955494,0.019155125613305252
8,0.012240385374713733,0.011537543853505637,0.014386853636797536
9,0.009555397615099107,0.009071722914612777,0.0111022696108363
10,0.006870409855484482,0.007273150052099596,0.008761677685881271
11,0.0048961541498854936,0.005928437715950155,0.007046009828221234
12,0.0042643923240938165,0.004901612642720548,0.0057580234210853065
13,0.0033957198136302614,0.004103098876267618,0.004771117848437054
14,0.00363263049830214,0.003472171068730134,0.00400138524741383
15,0.0032377793571823424,0.00296662327398668,0.00339165054207356
16,0.003079838900734423,0.0025564718012237547,0.0029020004152720356
17,0.002606017531390666,0.0022199988580974563,0.0025039718055192848
18,0.0015794045644791914,0.0019411994726869926,0.0021768796465786665
19,0.00181631524915107,0.0017080942906465126,0.0019054352679330555
20,0.0021321961620469083,0.0015115905681345272,0.0016781656145620427
21,0.001658374792703151,0.001344698336002781,0.0014863419518640214
22,0.0009476427386875149,0.0012019815190600453,0.0013232400878046464
23,0.0013424938798073127,0.001079167448986426,0.0011836207462001204
24,0.0010266129669114744,0.0009728650124312243,0.0010633588653160846
25,0.0009476427386875149,0.000880358491145593,0.0009591753550039991
26,0.000552791597567717,0.0007994549104895493,0.0008684404430563154
27,0.0011845534233593934,0.0007283697229543027,0.0007890277590440705
28,0.000552791597567717,0.0006656402976324263,0.0007192048529684062
29,0.0007897022822395957,0.0006100598111436427,0.0006575501981966786
30,0.000552791597567717,0.0005606262678958482,0.0006028896644526856
31,0.00047382136934375743,0.0005165028522460997,0.000554247455712655
32,0.00023691068467187872,0.0004769868476716063,0.0005108079006009771
33,0.00015794045644791914,0.000441485089434666,0.0004718854602032609
34,0.00039485114111979786,0.0004094944409141567,0.0004369010118904859
35,0.00023691068467187872,0.00038058616258451327,0.0004053629653876468
36,0.0003158809128958383,0.0003543933192653572,0.0003768521279242024
37,0.00023691068467187872,0.0003306005751221751,0.0003510094990861489
38,0.0003158809128958383,0.0003089358774037455,0.0003275263706719221
39,7.897022822395957e-05,0.00028916364340834206,0.0003061362517506
40,7.897022822395957e-05,0.00027107915085706135,0.0002866082478234869
41,0.00039485114111979786,0.0002545038970077709,0.00026874160515633446
42,0.00023691068467187872,0.00023928174172570463,0.0002523611939025252
43,0.0003158809128958383,0.00022527568816732205,0.00023731375158344222
44,0.00015794045644791914,0.00021236518454126492,0.00022346474547999426
45,0.00015794045644791914,0.00020044385365989198,0.0002106957411993333
46,7.897022822395957e-05,0.00018941757523297157,0.000198902187096724
47,0.00023691068467187872,0.0001792028602384491,0.00018799154183238753
48,,0.00016972546810788413,0.0001778816862357671
49,7.897022822395957e-05,0.00016091922654803582,0.00016849957167218833
50,0.0003158809128958383,0.000152725021091432,0.00015978006589518817
51,7.897022822395957e-05,0.00014508992731550432,0.0001516649644077035
52,7.897022822395957e-05,0.00013796646339156858,0.0001441021410201272
53,,0.00013131194445434305,0.0001370448158713025
54,,0.00012508792340063936,0.0001304509228937224
55,,0.00011925970527451512,0.00012428256173123192
56,0.00015794045644791914,0.00011379592448733081,0.00011850552159336306
57,0.00015794045644791914,0.00010866817584297048,0.00011308886656294832
58,,0.00010385069176113026,0.00010800457354820003
59,0.00015794045644791914,9.932005927113422e-05,0.00010322721545481373
60,0.00023691068467187872,9.505497132961907e-05,9.873368330194335e-05
61,0.00015794045644791914,9.103600783391415e-05,9.450294196142143e-05
62,0.00015794045644791914,8.724544238784651e-05,9.051581499718737e-05
63,0.00015794045644791914,8.366707145144525e-05,8.675479474964073e-05
64,7.897022822395957e-05,8.028606298982615e-05,8.32038743703141e-05
65,0.00023691068467187872,7.708882214492286e-05,7.984839898435114e-05
66,0.00023691068467187872,7.406287179893328e-05,7.66749335568594e-05
67,7.897022822395957e-05,7.1196746191742e-05,7.367114537661448e-05
68,7.897022822395957e-05,6.847989600366042e-05,7.082569935694307e-05
69,,6.590260352728267e-05,6.812816459723292e-05
70,7.897022822395957e-05,6.345590673400625e-05,6.556893085628374e-05
71,0.00015794045644791914,6.113153119607417e-05,6.313913376631368e-05
72,7.897022822395957e-05,5.8921828958619386e-05,6.0830587768595106e-05
73,,5.681972357096735e-05,5.86357258823419e-05
74,,5.4818660585395666e-05,5.6547545530889945e-05
75,7.897022822395957e-05,5.291256291709816e-05,5.455955974614609e-05
76,0.00015794045644791914,5.109579053299136e-05,5.266575315603286e-05
77,0.00015794045644791914,4.936310400132249e-05,5.086054223215884e-05
78,0.00015794045644791914,4.7709631489500895e-05,4.9138739337832035e-05
79,,4.613083884642838e-05,4.7495520171179654e-05
80,0.00015794045644791914,4.4622502447492535e-05,4.592639424571163e-05
81,,4.3180684517736374e-05,4.4427178092153e-05
82,,4.180171068065759e-05,4.299397090161484e-05
83,0.00015794045644791914,4.0482149508663137e-05,4.162313236188969e-05
84,,3.9218793875954574e-05,4.0311262466456766e-05
